title,producto,residuos,valorizacion
3D-printable circular composites as sustainable leather alternative for the valorization of tanneries' solid waste,Materiale,"Residuos sólidos, Residuos con cromo",Valorización química
A Review on Utilization Routes of the Leather Industry Biomass,"Energía, Materiale, Biomoléculas","Residuos sólidos, Residuos con cromo, Residuos sin cromo","Valorización química, Valorización térmica, Valorización biológica"
A circular economy approach for utilization of tannery fleshing hydrolysate and kitchen wastes into organic fertilizer through enzymatic decomposition,Productos agrícolas,"Residuos sólidos, Residuos con cromo",Valorización biológica
"A comprehensive review of AI-based collagen valorization: Recent trends, innovations in extraction, and applications","Materiale, Biomoléculas","Residuos sólidos, Residuos sin cromo","Valorización química, Valorización biológica"
A multifunctional eco-friendly fertilizer used keratin-based superabsorbent as coatings for slow-release urea and remediation of contaminated soil,Productos agrícolas,"Residuos sólidos, Residuos sin cromo",Valorización química
A novel complex coupling agent for enhancing the compatibility between collagen fiber and natural rubber: A utilization strategy for leather wastes,Materiale,"Residuos sólidos, Residuos con cromo",Valorización química
A novel strategy of tannery sludge disposal – converting into biochar and reusing for Cr(VI) removal from tannery wastewater,Materiale,"Residuos sólidos, Residuos con cromo","Valorización térmica, Aplicaciones ambientales"
"A novel vegetable tannin for eco-leather production: separation, characterization and application of facile valorized indigenous Acacia nilotica bark extract","Materiale, Biomoléculas",Residuos sin cromo,Valorización química
A one-pot synthesis of biodiesel from leather tanning waste using supercritical ethanol: Process optimization,Energía,Residuos sólidos,Valorización química
"Absorption-Dominant, Low-Reflection Multifunctional Electromagnetic Shielding Material Derived from Hydrolysate of Waste Leather Scraps",Materiale,Residuos sólidos,"Valorización química, Valorización térmica"
Activated Carbon from Wet Blue Leather Waste for Dye Removal,Materiale,"Residuos sólidos, Residuos con cromo","Valorización térmica, Aplicaciones ambientales"
Adsorption of Cr(VI) by wet blue leather: Sustainable solution for leather industry effluents,Materiale,"Residuos sólidos, Residuos con cromo",Aplicaciones ambientales
Amino Acid Enriched Proteinous Wastes: Recovery and Reuse in Leather Making,Biomoléculas,"Residuos sólidos, Residuos sin cromo",Valorización biológica
"Amphoteric superabsorbent polymer based on waste collagen as loading media and safer release systems for herbicide 2, 4-D",Materiale,Residuos sólidos,Valorización química
An Effective and Harmless Recycling Technology for Hazardous Chrome-Tanned Leather Wastes: Re-utilization of dechromed collagen fibres as filler in leather making processing,"Materiale, Biomoléculas","Residuos sólidos, Residuos con cromo",Valorización química
An advanced multifunctional leather derived from discarded leather scraps toward personal thermal management and health protection,Materiale,Residuos sólidos,Reutilización directa
An innovative ionic liquid-aqueous biphasic system for simultaneously highly efficient dechroming and collagen recovery from chrome-tanned leather shavings at room temperature,Biomoléculas,"Residuos sólidos, Residuos con cromo",Valorización química
An integrated pickling-bating technology for reducing ammonia-nitrogen and chloride pollution in leather manufacturing,Materiale,"Residuos con cromo, Residuos líquidos",Valorización química
Analysis of the Influence of the Grinding Method of Chromium Leather Shavings on the Mechanical Properties of Composite Leather/Latex Materials,Materiale,"Residuos sólidos, Residuos con cromo",Reutilización directa
