title,year,journal,authors,doi,labels
Comparison of Spectroscopy-Based Methods and Chemometrics to Confirm Classification of Specialty Coffees,2022,Foods,"Belchior, V. and Botelho, B.G. and Franca, A.S.",10.3390/foods11111655,specialty_coffee
Specialty and regular coffee bean quality for cold and hot brewing: Evaluation of sensory profile and physicochemical characteristics,2021,LWT,"Córdoba, N. and Moreno, F.L. and Osorio, C. and Velásquez, S. and Fernandez-Alduenda, M. and Ruiz-Pardo, Y.",10.1016/j.lwt.2021.111363,specialty_coffee
"Coffee Drying and Processing Method Influence Quality of Arabica Coffee Varieties (Coffea arabica L.) at Gomma i and Limmu Kossa, Southwest Ethiopia",2022,Journal of Food Quality,"Firdissa, E. and Mohammed, A. and Berecha, G. and Garedew, W.",10.1155/2022/9184374,solar_drying
"Coffee Drying and Processing Method Influence Quality of Arabica Coffee Varieties (Coffea arabica L.) at Gomma i and Limmu Kossa, Southwest Ethiopia",2022,Journal of Food Quality,"Firdissa, E. and Mohammed, A. and Berecha, G. and Garedew, W.",10.1155/2022/9184374,coffee_quality
"Coffee Drying and Processing Method Influence Quality of Arabica Coffee Varieties (Coffea arabica L.) at Gomma i and Limmu Kossa, Southwest Ethiopia",2022,Journal of Food Quality,"Firdissa, E. and Mohammed, A. and Berecha, G. and Garedew, W.",10.1155/2022/9184374,coffee_drying_stage
A field survey on coffee beans drying methods of Indonesian small holder farmers,2017,IOP Conference Series: Materials Science and Engineering,"Siagian, P. and Setyawan, E.Y. and Gultom, T. and Napitupulu, F.H. and Ambarita, H.",10.1088/1757-899X/237/1/012037,solar_drying
A field survey on coffee beans drying methods of Indonesian small holder farmers,2017,IOP Conference Series: Materials Science and Engineering,"Siagian, P. and Setyawan, E.Y. and Gultom, T. and Napitupulu, F.H. and Ambarita, H.",10.1088/1757-899X/237/1/012037,coffee_drying_stage
Thermo-economic comparative of open-greenhouse and sun-patio coffee drying in the Sierra Mariscal Chiapas-México,2025,Case Studies in Thermal Engineering,"Santizo-Díaz, D. and Flores-Prieto, J.J.",10.1016/j.csite.2025.106072,solar_drying
Thermo-economic comparative of open-greenhouse and sun-patio coffee drying in the Sierra Mariscal Chiapas-México,2025,Case Studies in Thermal Engineering,"Santizo-Díaz, D. and Flores-Prieto, J.J.",10.1016/j.csite.2025.106072,drying_kinetics
Thermo-economic comparative of open-greenhouse and sun-patio coffee drying in the Sierra Mariscal Chiapas-México,2025,Case Studies in Thermal Engineering,"Santizo-Díaz, D. and Flores-Prieto, J.J.",10.1016/j.csite.2025.106072,coffee_drying_stage
Changes in physico-chemical characteristics of robusta coffee (Coffea canephora) during natural process using simple solar dryer,2024,BIO Web of Conferences,"Harijono, M.F.W. and Wulan, S.N. and Ali, D.Y. and Riza D.F.A. and Izza N. and Gustinasari K. and Maharsih I.K. and Sunarharum W.B. and Nurcholis M. and Dewanti B.S.D. and Widayanti V.T. and Mufidah E. and Qisthiya I. and Karadag D. and Idrus S. and Umakoshi H. and Lee Y.C. and Fatchurrahman D. and Zhu M. and Omwange K.A. and Addini T.",10.1051/bioconf/20249001003,solar_drying
Changes in physico-chemical characteristics of robusta coffee (Coffea canephora) during natural process using simple solar dryer,2024,BIO Web of Conferences,"Harijono, M.F.W. and Wulan, S.N. and Ali, D.Y. and Riza D.F.A. and Izza N. and Gustinasari K. and Maharsih I.K. and Sunarharum W.B. and Nurcholis M. and Dewanti B.S.D. and Widayanti V.T. and Mufidah E. and Qisthiya I. and Karadag D. and Idrus S. and Umakoshi H. and Lee Y.C. and Fatchurrahman D. and Zhu M. and Omwange K.A. and Addini T.",10.1051/bioconf/20249001003,coffee_quality
Changes in physico-chemical characteristics of robusta coffee (Coffea canephora) during natural process using simple solar dryer,2024,BIO Web of Conferences,"Harijono, M.F.W. and Wulan, S.N. and Ali, D.Y. and Riza D.F.A. and Izza N. and Gustinasari K. and Maharsih I.K. and Sunarharum W.B. and Nurcholis M. and Dewanti B.S.D. and Widayanti V.T. and Mufidah E. and Qisthiya I. and Karadag D. and Idrus S. and Umakoshi H. and Lee Y.C. and Fatchurrahman D. and Zhu M. and Omwange K.A. and Addini T.",10.1051/bioconf/20249001003,coffee_drying_stage
Rice husk energy rotary dryer experiment for improved solar drying thermal performance on cherry coffee,2023,Case Studies in Thermal Engineering,"Bawa Susana, I.G. and Alit, I.B. and Okariawan, I.D.K.",10.1016/j.csite.2022.102616,solar_drying
Rice husk energy rotary dryer experiment for improved solar drying thermal performance on cherry coffee,2023,Case Studies in Thermal Engineering,"Bawa Susana, I.G. and Alit, I.B. and Okariawan, I.D.K.",10.1016/j.csite.2022.102616,mechanical_drying
Rice husk energy rotary dryer experiment for improved solar drying thermal performance on cherry coffee,2023,Case Studies in Thermal Engineering,"Bawa Susana, I.G. and Alit, I.B. and Okariawan, I.D.K.",10.1016/j.csite.2022.102616,coffee_drying_stage
