title,year,journal,authors,doi,labels
Influence of viscoelastic behavior in flame retardancy of thermoplastic starch multicomponent systems loaded with leather waste,2024,Polymer Bulletin,"Sanchez-Olivares, G. and Ramírez-Torres, L.A. and Herrera-Valencia, E.E. and Calderas, F.",10.1007/s00289-024-05430-7,Producto: Materiale
Influence of viscoelastic behavior in flame retardancy of thermoplastic starch multicomponent systems loaded with leather waste,2024,Polymer Bulletin,"Sanchez-Olivares, G. and Ramírez-Torres, L.A. and Herrera-Valencia, E.E. and Calderas, F.",10.1007/s00289-024-05430-7,Residuos: Residuos sólidos
Influence of viscoelastic behavior in flame retardancy of thermoplastic starch multicomponent systems loaded with leather waste,2024,Polymer Bulletin,"Sanchez-Olivares, G. and Ramírez-Torres, L.A. and Herrera-Valencia, E.E. and Calderas, F.",10.1007/s00289-024-05430-7,Tipo de valorización: Valorización química
Resource Utilisation of Solid Leather Waste: Part 2 A Review,2022,Journal of the Society of Leather Technologists and Chemists,"Shaw, S. and Chattopadhyay, P.K. and Singha, N.R. and Mukherjee, G.",,Producto: Materiale
Resource Utilisation of Solid Leather Waste: Part 2 A Review,2022,Journal of the Society of Leather Technologists and Chemists,"Shaw, S. and Chattopadhyay, P.K. and Singha, N.R. and Mukherjee, G.",,Producto: Biomoléculas
Resource Utilisation of Solid Leather Waste: Part 2 A Review,2022,Journal of the Society of Leather Technologists and Chemists,"Shaw, S. and Chattopadhyay, P.K. and Singha, N.R. and Mukherjee, G.",,Residuos: Residuos sólidos
Resource Utilisation of Solid Leather Waste: Part 2 A Review,2022,Journal of the Society of Leather Technologists and Chemists,"Shaw, S. and Chattopadhyay, P.K. and Singha, N.R. and Mukherjee, G.",,Residuos: Residuos con cromo
Resource Utilisation of Solid Leather Waste: Part 2 A Review,2022,Journal of the Society of Leather Technologists and Chemists,"Shaw, S. and Chattopadhyay, P.K. and Singha, N.R. and Mukherjee, G.",,Residuos: Residuos sin cromo
Resource Utilisation of Solid Leather Waste: Part 2 A Review,2022,Journal of the Society of Leather Technologists and Chemists,"Shaw, S. and Chattopadhyay, P.K. and Singha, N.R. and Mukherjee, G.",,Tipo de valorización: Valorización química
Resource Utilisation of Solid Leather Waste: Part 2 A Review,2022,Journal of the Society of Leather Technologists and Chemists,"Shaw, S. and Chattopadhyay, P.K. and Singha, N.R. and Mukherjee, G.",,Tipo de valorización: Valorización biológica
Resource Utilization of Bovine Hair Recycling from Enzymatic Unhairing during Leather Manufacturing: Alkali-Protease Synergistic Preparation of Keratin and its in Vitro Antioxidant Activity,2023,Journal of the American Leather Chemists Association,"Liu, T. and Zhang, C. and Zhang, X. and Peng, B. and Gao, M.",,Producto: Biomoléculas
Resource Utilization of Bovine Hair Recycling from Enzymatic Unhairing during Leather Manufacturing: Alkali-Protease Synergistic Preparation of Keratin and its in Vitro Antioxidant Activity,2023,Journal of the American Leather Chemists Association,"Liu, T. and Zhang, C. and Zhang, X. and Peng, B. and Gao, M.",,Residuos: Residuos sólidos
Resource Utilization of Bovine Hair Recycling from Enzymatic Unhairing during Leather Manufacturing: Alkali-Protease Synergistic Preparation of Keratin and its in Vitro Antioxidant Activity,2023,Journal of the American Leather Chemists Association,"Liu, T. and Zhang, C. and Zhang, X. and Peng, B. and Gao, M.",,Residuos: Residuos sin cromo
Resource Utilization of Bovine Hair Recycling from Enzymatic Unhairing during Leather Manufacturing: Alkali-Protease Synergistic Preparation of Keratin and its in Vitro Antioxidant Activity,2023,Journal of the American Leather Chemists Association,"Liu, T. and Zhang, C. and Zhang, X. and Peng, B. and Gao, M.",,Tipo de valorización: Valorización química
Resource Utilization of Bovine Hair Recycling from Enzymatic Unhairing during Leather Manufacturing: Alkali-Protease Synergistic Preparation of Keratin and its in Vitro Antioxidant Activity,2023,Journal of the American Leather Chemists Association,"Liu, T. and Zhang, C. and Zhang, X. and Peng, B. and Gao, M.",,Tipo de valorización: Valorización biológica
Coagulation-adsorption-oxidation for removing dyes from tannery wastewater,2023,Environmental Monitoring and Assessment,"Mim, S. and Hashem, M.A. and Payel, S.",10.1007/s10661-023-11309-3,Producto: Materiale
Coagulation-adsorption-oxidation for removing dyes from tannery wastewater,2023,Environmental Monitoring and Assessment,"Mim, S. and Hashem, M.A. and Payel, S.",10.1007/s10661-023-11309-3,Residuos: Residuos sólidos
Coagulation-adsorption-oxidation for removing dyes from tannery wastewater,2023,Environmental Monitoring and Assessment,"Mim, S. and Hashem, M.A. and Payel, S.",10.1007/s10661-023-11309-3,Residuos: Residuos con cromo
Coagulation-adsorption-oxidation for removing dyes from tannery wastewater,2023,Environmental Monitoring and Assessment,"Mim, S. and Hashem, M.A. and Payel, S.",10.1007/s10661-023-11309-3,Residuos: Residuos líquidos
Coagulation-adsorption-oxidation for removing dyes from tannery wastewater,2023,Environmental Monitoring and Assessment,"Mim, S. and Hashem, M.A. and Payel, S.",10.1007/s10661-023-11309-3,Tipo de valorización: Valorización térmica
