title,doi,labels
Influence of viscoelastic behavior in flame retardancy of thermoplastic starch multicomponent systems loaded with leather waste,10.1007/s00289-024-05430-7,Producto: Materiale
Influence of viscoelastic behavior in flame retardancy of thermoplastic starch multicomponent systems loaded with leather waste,10.1007/s00289-024-05430-7,Residuos: Residuos sólidos
Influence of viscoelastic behavior in flame retardancy of thermoplastic starch multicomponent systems loaded with leather waste,10.1007/s00289-024-05430-7,Tipo de valorización: Valorización química
Resource Utilisation of Solid Leather Waste: Part 2 A Review,,Producto: Materiale
Resource Utilisation of Solid Leather Waste: Part 2 A Review,,Producto: Biomoléculas
Resource Utilisation of Solid Leather Waste: Part 2 A Review,,Residuos: Residuos sólidos
Resource Utilisation of Solid Leather Waste: Part 2 A Review,,Residuos: Residuos con cromo
Resource Utilisation of Solid Leather Waste: Part 2 A Review,,Residuos: Residuos sin cromo
Resource Utilisation of Solid Leather Waste: Part 2 A Review,,Tipo de valorización: Valorización química
Resource Utilisation of Solid Leather Waste: Part 2 A Review,,Tipo de valorización: Valorización biológica
Resource Utilization of Bovine Hair Recycling from Enzymatic Unhairing during Leather Manufacturing: Alkali-Protease Synergistic Preparation of Keratin and its in Vitro Antioxidant Activity,,Producto: Biomoléculas
Resource Utilization of Bovine Hair Recycling from Enzymatic Unhairing during Leather Manufacturing: Alkali-Protease Synergistic Preparation of Keratin and its in Vitro Antioxidant Activity,,Residuos: Residuos sólidos
Resource Utilization of Bovine Hair Recycling from Enzymatic Unhairing during Leather Manufacturing: Alkali-Protease Synergistic Preparation of Keratin and its in Vitro Antioxidant Activity,,Residuos: Residuos sin cromo
Resource Utilization of Bovine Hair Recycling from Enzymatic Unhairing during Leather Manufacturing: Alkali-Protease Synergistic Preparation of Keratin and its in Vitro Antioxidant Activity,,Tipo de valorización: Valorización química
Resource Utilization of Bovine Hair Recycling from Enzymatic Unhairing during Leather Manufacturing: Alkali-Protease Synergistic Preparation of Keratin and its in Vitro Antioxidant Activity,,Tipo de valorización: Valorización biológica
Coagulation-adsorption-oxidation for removing dyes from tannery wastewater,10.1007/s10661-023-11309-3,Producto: Materiale
Coagulation-adsorption-oxidation for removing dyes from tannery wastewater,10.1007/s10661-023-11309-3,Residuos: Residuos sólidos
Coagulation-adsorption-oxidation for removing dyes from tannery wastewater,10.1007/s10661-023-11309-3,Residuos: Residuos con cromo
Coagulation-adsorption-oxidation for removing dyes from tannery wastewater,10.1007/s10661-023-11309-3,Residuos: Residuos líquidos
