key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-484616178,Comparison of Spectroscopy-Based Methods and Chemometrics to Confirm Classification of Specialty Coffees,2022,,,Foods,23048158 (ISSN),11,11,,"Belchior, V. and Botelho, B.G. and Franca, A.S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131876435&doi=10.3390%2Ffoods11111655&partnerID=40&md5=2ab78eb5c20a91500419205ea7a0d3df,English,MDPI,"[""The Coffee Sensorium Project, Av. Getulio Vargas, 159, MG, Dores de Campos, 36213-000, Brazil"", ""PPGCA, Universidade Federal de Minas Gerais, Av. Antônio Carlos, 6627, MG, Belo Horizonte, 31270-901, Brazil"", ""DQ, Universidade Federal de Minas Gerais, Av. Antônio Carlos, 6627, MG, Belo Horizonte, 31270-901, Brazil"", ""DEMEC, Universidade Federal de Minas Gerais, Av. Antônio Carlos, 6627, MG, Belo Horizonte, 31270-901, Brazil""]","The Specialty Coffee Association (SCA) sensory analysis protocol is the methodology that is used to classify specialty coffees. However, because the sensory analysis is sensitive to the taster’s training, cognitive psychology, and physiology, among other parameters, the feasibility of instrumental approaches has been recently studied for complementing such analyses. Spectroscopic methods, mainly near infrared (NIR) and mid infrared (FTIR—Fourier Transform Infrared), have been extensively employed for food quality authentication. In view of the aforementioned, we compared NIR and FTIR to distinguish different qualities and sensory characteristics of specialty coffee samples in the present study. Twenty-eight green coffee beans samples were roasted (in duplicate), with roasting conditions following the SCA protocol for sensory analysis. FTIR and NIR were used to analyze the ground and roasted coffee samples, and the data then submitted to statistical analysis to build up PLS models in order to confirm the quality classifications. The PLS models provided good predictability and classification of the samples. The models were able to accurately predict the scores of specialty coffees. In addition, the NIR spectra provided relevant information on chemical bonds that define specialty coffee in association with sensory aspects, such as the cleanliness of the beverage. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","Export Date: 08 March 2026; Cited By: 25; Correspondence Address: A.S. Franca; PPGCA, Universidade Federal de Minas Gerais, Belo Horizonte, Av. Antônio Carlos, 6627, MG, 31270-901, Brazil; email: adriana@demec.ufmg.br | RAYYAN-LABELS: specialty_coffee",10.3390/foods11111655,FTIR;NIRS;PLS models;specialty coffee,,
rayyan-484616180,Specialty and regular coffee bean quality for cold and hot brewing: Evaluation of sensory profile and physicochemical characteristics,2021,,,LWT,00236438 (ISSN),145,,,"Córdoba, N. and Moreno, F.L. and Osorio, C. and Velásquez, S. and Fernandez-Alduenda, M. and Ruiz-Pardo, Y.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103407802&doi=10.1016%2Fj.lwt.2021.111363&partnerID=40&md5=8c4dffae0e83ccb2e8457727094cd960,English,Academic Press,"[""Doctoral Program in Biosciences, Faculty of Engineering, Universidad de La Sabana, Campus Universitario Puente Del Común, Km. 7 Autopista Norte, Bogotá, 25001, Colombia"", ""Grupo de Investigación en Procesos Agroindustriales, Universidad de La Sabana, Campus Universitario Puente Del Común, Km. 7 Autopista Norte, Bogotá, 25001, Colombia"", ""Departamento de Química, Universidad Nacional de Colombia-Sede Bogotá, AA, Bogotá, 14490, Colombia"", ""Research & Development Department, Industria Colombiana de Café, Medellín, Antioquia, Colombia"", ""Specialty Coffee Association (SCA), Santa Ana, CA, United States""]","The effect of coffee bean quality (specialty and regular) and brewing method (cold and hot) on the sensory profile and physicochemical characteristics of coffee beverages was studied. Cold brew was prepared by immersion and hot brew coffee by French Press. Total dissolved solids (TDS), titratable acidity (TA), caffeine, trigonelline, 4 and 5- caffeoylquinic acids were quantified by instrumental methods, volatile compounds by GC–MS, and the coffee flavor was through quantitative sensory evaluation. Coffee beverages were more differentiated by brewing method than by the coffee bean quality used in the preparation. Cold brew coffees were mainly associated with volatile 2-methyl-butanal, 5-methyl furfural, and dihydro-2-methyl- 3 (2H) -furanone. Hot brew coffee beverages were identified with some specific furans and 2-methoxy-4-vinylphenol. No significant differences were found in TDS, caffeine, trigonelline, 4 and 5 caffeoylquinic acids. A higher TA was observed in hot coffee beverages than in cold brew coffees. Regular bean quality promoted undesirable sensory attributes in both cold and hot brew beverages. However, these attributes were perceived in higher intensity in hot brew coffee beverages. Thus, differences in brewing methods affect the extraction of the chemical compounds present in different coffee bean quality, translating into variations in the sensory profile. © 2021 Elsevier Ltd","Export Date: 08 March 2026; Cited By: 60; Correspondence Address: Y. Ruiz-Pardo; Grupo de Investigación en Procesos Agroindustriales, Universidad de La Sabana, Campus Universitario Puente Del Común, Bogotá, Km. 7 Autopista Norte, 25001, Colombia; email: ruth.ruiz@unisabana.edu.co; CODEN: LBWTA | RAYYAN-LABELS: specialty_coffee",10.1016/j.lwt.2021.111363,Brewing temperature;Coffee flavor;Coffee quality;Specialty coffee;Titratable acidity;Caffeine;Coffee;Fermentation;Soil conditioners;Volatile fatty acids;Brewing temperature;Coffee beans;Coffee beverages;Coffee flavor;Coffee qualities;Physicochemical characteristics;Sensory profiles;Specialty coffee;Titratable acidity;Total dissolved solids;Volatile organic compounds,,
rayyan-484616184,"Coffee Drying and Processing Method Influence Quality of Arabica Coffee Varieties (Coffea arabica L.) at Gomma i and Limmu Kossa, Southwest Ethiopia",2022,,,Journal of Food Quality,01469428 (ISSN),2022,,,"Firdissa, E. and Mohammed, A. and Berecha, G. and Garedew, W.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144699933&doi=10.1155%2F2022%2F9184374&partnerID=40&md5=498b64e1a237221c29876bd8ca9cb758,English,John Wiley and Sons Inc,"[""Jimma University, College of Agriculture and Veterinary Medicine, Department of Horticulture and Plant Sciences, Jimma, Ethiopia"", ""Wollega University, Department of Horticulture, Shambu, Ethiopia""]","Solar tunnel drying and semiwash processing methods are popular among coffee growers in southwestern Ethiopia. However, the effect of these processing methods on coffee quality has not been studied in detail. The objective of this study was to evaluate the effect of processing and drying methods on the quality of coffee varieties at Gomma-I and Limmu Kossa areas in the 2016/2017 growing season. Two processing methods (fully washed and semiwashed) and three drying methods (solar tunnel, artificial, and natural sun) were compared using three coffee varieties (741, 7440, and 74110) to test their effect on coffee quality. Coffee beans processed by semiwash method and dried by solar tunnel produced nondefective (primary and secondary) coffee beans compared with others at both locations. Similarly, coffee beans processed by semiwashed method recorded the highest mean value for shape and make and body than wet processing method. Best coffee bean color, greenish color, was produced from coffee beans processed by the fully washed processing method. All coffee varieties processed by semiwashed method produced medium pointed acidity, the second most acceptable grade value for coffee quality for all drying methods. Coffee beans processed by the fully washed method produced more flavor than semiwash processing method. Coffee beans dried by sun and solar tunnel drying methods also produced better flavor than artificial drier. In general, all coffee varieties processed by semiwash method and dried by natural sun and solar tunnel method produced higher preliminary total quality and total specialty coffee value, graded under specialty grade Q1. Hence, coffee growers in the study area can use semiwash processing method and solar tunnel dryer as an alternative/complementary processing method since they produce better or equivalent quality product with full wash and natural sun drying method. © 2022 Elfinesh Firdissa et al.","Export Date: 08 March 2026; Cited By: 34; Correspondence Address: E. Firdissa; Jimma University, College of Agriculture and Veterinary Medicine, Department of Horticulture and Plant Sciences, Jimma, Ethiopia; email: qananii2013@gmail.com; CODEN: JFQUD | RAYYAN-LABELS: solar_drying,coffee_quality,coffee_drying_stage",10.1155/2022/9184374,Coffee;Drying;Gluing;Washing;Coffea arabica;Coffee beans;Coffee qualities;Drying methods;Ethiopia;Growing season;Mean values;Processing method;Solar tunnels;Wet-processing;Solar dryers,,
rayyan-484616188,A field survey on coffee beans drying methods of Indonesian small holder farmers,2017,,,IOP Conference Series: Materials Science and Engineering,17578981 (ISSN),237,1,,"Siagian, P. and Setyawan, E.Y. and Gultom, T. and Napitupulu, F.H. and Ambarita, H.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037679813&doi=10.1088%2F1757-899X%2F237%2F1%2F012037&partnerID=40&md5=c09715f2037a4a8f3fe1e169234fae50,English,Institute of Physics Publishing,"[""Department of Mechanical Engineering, Faculty of Engineering, Universitas Sumatera Utara, Jl. Almamater Kampus USU, Medan, 20155, Indonesia"", ""Mechanical Engineering, Universitas HKBP Nommensen, Medan, Indonesia"", ""Mechanical Engineering, National Institute of Technology Malang, Indonesia"", ""Biology Department, Universitas Negeri Medan, Jl. William Iskandar Medan, 20222, Indonesia""]","Drying agricultural product is a post-harvest process that consumes significant energy. It can affect the quality of the product. This paper deals with literature review and field survey of drying methods of coffee beans of Indonesia farmers. The objective is to supply the necessary information on developing continuous solar drier. The results show that intermittent characteristic of sun drying results in a better quality of coffee beans in comparison with constant convective drying. In order to use energy efficiently, the drying process should be divided into several stages. In the first stage when the moist content is high, higher drying air temperature is more effective. After this step, where the moist content is low, lower drying air temperature is better. The field survey of drying coffee beans in Sumatera Utara province reveals that the used drying process is very traditional. It can be divided into two modes and depend on the coffee beans type. The Arabica coffee is firstly fermented and dried to moisture content of 80% using sun drying method, then followed by Green House model of drying up to moisture content about 12%. The latter typically spends 3 days of drying time. On the other hand, The Robusta coffee is dried by exposing to the sun directly without any treatment. After the coffee beans dried follow by peeled process. These findings can be considered to develop a continuous solar drying that suitable for coffee beans drying. © Published under licence by IOP Publishing Ltd.","Export Date: 08 March 2026; Cited By: 28; Conference name: 1st Nommensen International Conference on Technology and Engineering; Conference date: 11 July 2017 through 12 July 2017; Conference code: 131115 | RAYYAN-LABELS: solar_drying,coffee_drying_stage",10.1088/1757-899X/237/1/012037,Agricultural products;Agriculture;Atmospheric temperature;Moisture;Moisture determination;Solar dryers;Surveys;Convective drying;Drying air temperatures;Drying methods;Drying process;Field surveys;Literature reviews;Robusta coffee;Sun-drying methods;Drying,,
rayyan-484616189,Thermo-economic comparative of open-greenhouse and sun-patio coffee drying in the Sierra Mariscal Chiapas-México,2025,,,Case Studies in Thermal Engineering,2214157X (ISSN),70,,,"Santizo-Díaz, D. and Flores-Prieto, J.J.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005028820&doi=10.1016%2Fj.csite.2025.106072&partnerID=40&md5=d8d1c98a8d1e81564edea833dafd323a,English,Elsevier Ltd,"Tecnológico Nacional de México - CENIDET, Int. Internado Palmira s/n, Morelos, Cuernavaca, ZIP 62490, Mexico","We show a thermal-economic comparative of open-greenhouse and sun-patio drying in the Sierra Mariscal, Chiapas-México. Thermal analyses involve drying kinetics, thermal efficiency, and drying-specific energy; economic analyses involve the investment payback period and importance parameters analysis. In an open-greenhouse, 14 kg/m2 samples were spread in 12 trays (135 kg/batch), while in the sun-patio were 10 kg/m2 of coffee bed. The initial and final samples moisture content were from 53 % to 11-12 % (w.b). In the comparison, the sun-patio and open-greenhouse, respectively, drying constant, water-effective diffusivity, and activation energy were on average (11.8 × 10-04:9.25 × 10-04), (6.08 × 10-10:3.42 × 10-09 m2/s) and (14.24:12.58 kJ/mol). In open-greenhouse, the payback period better correlates with solar irradiation, 39 % more than in sun-patio. Although the drying time in the open-greenhouse increases by an average of 60.0 % compared to the sun-patio and thermal efficiency by 15.0 %, the drying-specific energy is reduced by an average of 10.6 % and payback of 2.3 %. At a similar payback, the open-greenhouse drying fulfills sanitary regulations contrary to sun-patio. Although in open-greenhouses, the drying time increases by 60.0 %, the drying area requirement reduces by 14.0 times. Therefore, open-greenhouse coffee drying looks like a thermo-economic alternative for coffee growers, as it improves the dried beans without increasing the cost considerably. © 2025 The Authors.","Export Date: 08 March 2026; Cited By: 2; Correspondence Address: J.J. Flores-Prieto; Tecnológico Nacional de México - CENIDET, Cuernavaca, Int. Internado Palmira s/n, Morelos, ZIP 62490, Mexico; email: jose.fp@cenidet.tecnm.mx | RAYYAN-LABELS: solar_drying,drying_kinetics,coffee_drying_stage",10.1016/j.csite.2025.106072,Coffee drying-specific energy;Greenhouse coffee drying;Solar coffee dying;Sun-patio coffee drying;Water content;Coffee drying-specific energy;Greenhouse coffee drying;Me-xico;Payback periods;Solar coffee dying;Specific energy;Sun-patio coffee drying;Thermal;Thermal-efficiency;Thermoeconomic;Infrared drying,,
rayyan-484616190,Changes in physico-chemical characteristics of robusta coffee (Coffea canephora) during natural process using simple solar dryer,2024,,,BIO Web of Conferences,22731709 (ISSN),90,,,"Harijono, M.F.W. and Wulan, S.N. and Ali, D.Y. and Riza D.F.A. and Izza N. and Gustinasari K. and Maharsih I.K. and Sunarharum W.B. and Nurcholis M. and Dewanti B.S.D. and Widayanti V.T. and Mufidah E. and Qisthiya I. and Karadag D. and Idrus S. and Umakoshi H. and Lee Y.C. and Fatchurrahman D. and Zhu M. and Omwange K.A. and Addini T.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185612040&doi=10.1051%2Fbioconf%2F20249001003&partnerID=40&md5=2c059cd4a2fcbce566530ed76bd95b36,English,EDP Sciences,"Department of Food Science and Biotechnology, Faculty of Agricultural Technology, Universitas Brawijaya, Malang, 65145, Indonesia","A simple solar drying technique was recently introduced for processing robusta coffee (Coffea canephora) in Indonesia. It is considered a modification of the natural process commonly found in Indonesia. The objective of this work is to evaluate changes in the characteristics of coffee beans during the drying process. The results show that a significant reduction of moisture content and Aw takes place in the first 7 days of drying, followed by a slight increase of total sugar and total acids. The next 14 days of drying occurred at a lower rate, and the above-mentioned parameters continued to decrease, but an increase in the pH and total phenols were observed. The yield of the process was 27.5%, and the moisture content of the green bean meets the Indonesian National Standard (SNI) of coffee. The water activity (Aw) of the green bean is considered low which could prevent growth of spoilage microorganism if stored properly. The levels of caffeine and chlorogenic acids in the green bean are considered low for robusta coffee. © The Authors, published by EDP Sciences. This is an open access article distributed under the terms of the Creative Commons Attribution License 4.0 (https://creativecommons.org/licenses/by/4.0/).","Export Date: 08 March 2026; Cited By: 1; Correspondence Address: D.Y. Ali; Department of Food Science and Biotechnology, Faculty of Agricultural Technology, Universitas Brawijaya, Malang, 65145, Indonesia; email: dego@ub.ac.id; Conference name: 7th International Conference on Green Agro-Industry and Bioeconomy, ICGAB 2023; Conference code: 197202 | RAYYAN-LABELS: solar_drying,coffee_quality,coffee_drying_stage",10.1051/bioconf/20249001003,"",,
rayyan-484616191,Rice husk energy rotary dryer experiment for improved solar drying thermal performance on cherry coffee,2023,,,Case Studies in Thermal Engineering,2214157X (ISSN),41,,,"Bawa Susana, I.G. and Alit, I.B. and Okariawan, I.D.K.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143902691&doi=10.1016%2Fj.csite.2022.102616&partnerID=40&md5=6cddcae938c36584ec8c9521ebbc9440,English,Elsevier Ltd,"Department of Mechanical Engineering, Faculty of Engineering, University of Mataram, Jl. Majapahit No. 62 Nusa Tenggara Barat, Mataram, 83125, Indonesia","This research focuses on testing rotary dryers for the small-scale drying of cherry coffee, using hot air through the conversion of rice husk into thermal with a heat exchanger. Drying cherry coffee with a moisture content of 62% was dried using a rotary dryer and sun drying. Rotary dryer testing for mass variations of 10 kg, 15 kg, and 20 kg. During the drying process, rice husks are not added to the furnace. The results showed that the rotary drying temperature was higher than the sun drying. The final moisture content of sun drying was 13.14%; the average temperature was 29.44 °C for 16 days. The rotary dryer produces final moisture content of 10.71%, 10.45%, and 11.13%. The time required is 1440 min, 1680 min, and 1920 min, respectively. The fastest drying rate occurs at a mass of 10 kg. The highest drying efficiency occurs for a mass of 20 kg. The greater the mass affects the moisture content evaporation, so the drying efficiency is high. During the drying process, there is a decrease in efficiency because the energy absorbed by cherry coffee decreases as the moisture content decreases.  © 2022 The Author(s).","Export Date: 08 March 2026; Cited By: 22; Correspondence Address: I.B. Alit; Department of Mechanical Engineering, Faculty of Engineering, University of Mataram, Mataram, Jl. Majapahit No. 62 Nusa Tenggara Barat, 83125, Indonesia; email: alit.ib@unram.ac.id | RAYYAN-LABELS: solar_drying,mechanical_drying,coffee_drying_stage",10.1016/j.csite.2022.102616,Cherry coffee;Heat exchanger;Rice husk;Rotary dryer;Drying;Moisture;Moisture determination;Solar dryers;Cherry coffee;Drying efficiency;Drying process;Energy;Final moisture content;Rice husk;Rotary dryers;Solar drying;Sun drying;Thermal Performance;Heat exchangers,,
rayyan-484616192,Preliminary study of drying of natural coffee by cyclical pressure changes,2020,,,DYNA (Colombia),00127353 (ISSN),87,214,53-60,"Parra-Coronado, A. and García-Navarrete, O.L. and Vanegas-Izquierdo, F.A. and Gamboa-Gamboa, J.A. and González-Mora, A.F. and Ramírez-González, D.A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091387634&doi=10.15446%2FDYNA.V87N214.83414&partnerID=40&md5=302649f1476738f2335fb247f6927129,English,Universidad Nacional de Colombia,"School of Engineering, Universidad Nacional de Colombia, Bogotá, Colombia","A “special coffee” is obtained with an adequate drying process, which allows the preservation of volatile substances responsible for excellent cup quality. The aim was to carry out preliminary studies of drying of natural coffee by implementing a Cyclic Pressure Changes (CPCD) dryer, comparing it with solar drying and with a mechanical drying system by forced convection of low-temperature air. The drying times and rates of the systems used were compared, as well as the respective valuation of the cup quality. Drying times were 767 h for solar drying system, without reaching the desired moisture content; 153.5 h for mechanical drying system and 449 h for the CPCD system. However, the global cup tests showed a better quality of the grain obtained with the CPCD system (87 points), than the one obtained with the mechanical drying at 35°C (84 points). © The author; licensee Universidad Nacional de Colombia.","Export Date: 08 March 2026; Cited By: 0 | RAYYAN-LABELS: solar_drying,mechanical_drying,coffee_drying_stage",10.15446/DYNA.V87N214.83414,CPCD prototype;Cup tests;Quality;Specialty coffees;Volatile substances,,
rayyan-484616194,Bioclimatic performance of wet coffee processing facilities: Conditions for workers and coffee,2022,,,Revista Facultad Nacional de Agronomia Medellin,03042847 (ISSN),75,1,9763-9772,"Guerra García, L.M. and Osorio Hernández, R. and Saráz, J.A.O. and Carlo, J.C. and Damasceno, F.A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125781044&doi=10.15446%2FRFNAM.V75N1.96247&partnerID=40&md5=6de1069c3b6dfe9f2ba2277c3e6a3936,English,Universidad Nacional de Colombia,"[""Universidad Nacional de Colombia, Bogotá and Medellín campus, Colombia"", ""Universidade Federal de Viçosa, Minas Gerais, Brazil"", ""Universidade Federal de Lavras, Minas Gerais, Brazil""]","This study aimed to evaluate the bioclimatic performance of three wet coffee processing facilities in Colombia, focused on the conditions for workers and coffee parchment, through computer simulation. In addition to temperature and relative humidity, the Wet-Bulb Globe Temperature index (WBGT) was simulated during the highest coffee production month. The proposed simulation model was able to predict hygrothermal behavior within the three coffee processing facilities. Case 3 presented the warmest environment, and case 2 the most humid environment concerning the appropriate conditions for the coffee and the worker. The WBGT index limit was exceeded in case 3. Since this type of facility emits large amounts of heat and steam, constructive modifications are suggested to improve the environmental conditions of workers and coffee. Mainly, the physical separation of the heat exchangers is recommended, which ideally should be outside the post-harvest facility. The steam produced in the drying process should be quickly evacuated with ventilation strategies. Additionally, the use of strategies that reduce the energy gain from solar radiation is sugges. © 2022, Universidad Nacional de Colombia. All rights reserved.","Export Date: 08 March 2026; Cited By: 2; Correspondence Address: R. Osorio Hernández; Universidad Nacional de Colombia, Bogotá and Medellín campus, Colombia; email: rosorioh@unal.edu.co | RAYYAN-LABELS: coffee_processing",10.15446/RFNAM.V75N1.96247,Computational simulation;Hygrothermal behavior;Post-harvest coffee;Thermal comfort;WBGT index,,
rayyan-484616196,Enhancing the performance of conventional coffee beans drying with low-temperature geothermal energy by applying HPHE: An experimental study,2021,,,Open Agriculture,23919531 (ISSN),6,1,807-818,"Gunawan, Y. and Margono, K.T. and Rizky, R. and Putra, N. and Faqih, R.A. and Hakim, I.I. and Setiadanu, G.T. and Suntoro, D. and Kasbi, S. and Nafis, S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123309543&doi=10.1515%2Fopag-2021-0053&partnerID=40&md5=06dce341b3247739c8b6338ce38e3bb0,English,De Gruyter Open Ltd,"[""Department of Mechanical Engineering, Applied Heat Transfer Laboratory, Universitas Indonesia, West Java, Depok, 16424, Indonesia"", ""Research and Development Center for Electricity, New, Renewable Energy, and Energy Conservation Technology (P3tek KEBTKE), Ministry of Energy and Mineral Resources (KESDM), Bogor, 16340, Indonesia""]","The unpredictable weather in Indonesia results in a less effective conventional coffee beans drying process, which usually uses solar energy as a heat source. This experiment aimed to examine the performance of the coffee beans drying using low-temperature geothermal energy (LTGE) with solar energy as the energy source. Heat pipe heat exchanger, which consists of 42 straight heat pipes with staggered configuration, was used to extract the LTGE. The heat pipes have 700 mm length, 10 mm outside diameter with a filling ratio of 50%, and added by 181 pieces of aluminum with a dimension size of 76 mm × 345 mm × 0.105 mm as fins. LTGE was simulated by using water that is heated by three heaters and flowed by a pump. Meanwhile, to simulate the drying process with conventional methods, a system of solar air collectors made of polyurethane sheets with a thickness of 20 mm and dimensions of length × width × height = 160 cm × 76 cm × 10 cm, respectively, was used in this study. Zinc galvalume sheet with 0.3 mm thickness was installed and coated by the black doff color throughout the inner of the container wall. The result showed that the drying process with LTGE and solar energy is faster than with solar energy or geothermal energy only. The drying coffee beans using the hybrid system can speed up the drying coffee beans time by about 23% faster than the solar energy only.  © 2021 Yohanes Gunawan et al., published by De Gruyter.","Export Date: 08 March 2026; Cited By: 7; Correspondence Address: Y. Gunawan; Department of Mechanical Engineering, Applied Heat Transfer Laboratory, Universitas Indonesia, Depok, West Java, 16424, Indonesia; email: yohanes.gunawan@esdm.go.id; N. Putra; Department of Mechanical Engineering, Applied Heat Transfer Laboratory, Universitas Indonesia, Depok, West Java, 16424, Indonesia; email: nandyputra@eng.ui.ac.id | RAYYAN-LABELS: mechanical_drying,coffee_drying_stage",10.1515/opag-2021-0053,coffee bean drying;drying;heat pipe;HPHE;low-temperature geothermal,,
