key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-508874011,Influence of viscoelastic behavior in flame retardancy of thermoplastic starch multicomponent systems loaded with leather waste,2024,,,Polymer Bulletin,01700839 (ISSN),81,16,15183-15205,"Sanchez-Olivares, G. and Ramírez-Torres, L.A. and Herrera-Valencia, E.E. and Calderas, F.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198960615&doi=10.1007%2Fs00289-024-05430-7&partnerID=40&md5=0fb05d4c78708ebaf85a73cc238b1772,English,Springer Science and Business Media Deutschland GmbH,"[""CIATEC, A.C. Omega 201, Colonia Industrial Delta, León Guanajuato, 37545, Mexico"", ""Unidad de Bioingeniería, Facultad de Estudios Superiores Zaragoza, Universidad Nacional Autónoma de México, Batalla 5 de Mayo S/N, Ejercito de Oriente, Iztapalapa, Mexico City, 09230, Mexico""]",,"Export Date: 30 March 2026; Cited By: 8; Correspondence Address: G. Sanchez-Olivares; CIATEC, A.C. Omega 201, Colonia Industrial Delta, León Guanajuato, 37545, Mexico; email: gsanchez@ciatec.mx; CODEN: POBUD | RAYYAN-LABELS: Producto: Materiale,Residuos: Residuos sólidos,Tipo de valorización: Valorización química",10.1007/s00289-024-05430-7,Flame retardancy;Leather waste;Multicomponent;Thermoplastic starch;Viscoelastic behavior;Additives;Aluminum compounds;Bentonite;Blending;Extrusion;Industrial wastes;Natural fibers;Polypropylenes;Reinforced plastics;Starch;Tensile strength;Thermoanalysis;% reductions;Circular economy;Flame-retardancy;Flame-retardant additives;Leather wastes;Multicomponents;Multicomponents systems;Thermoplastic starch;Viscoelastic behaviors;Viscoelastic properties;Viscoelasticity,,
rayyan-508874012,Resource Utilisation of Solid Leather Waste: Part 2 A Review,2022,,,Journal of the Society of Leather Technologists and Chemists,01440322 (ISSN),106,4,182-190,"Shaw, S. and Chattopadhyay, P.K. and Singha, N.R. and Mukherjee, G.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166236750&partnerID=40&md5=6923721f58c4f753af5f4d646372c194,English,Society of Leather Technologists and Chemists,"Government College of Engineering and Leather Technology, LB-Block, Sector III, Salt Lake, Kolkata, 700106, India",,"Export Date: 30 March 2026; Cited By: 1; Correspondence Address: G. Mukherjee; Government College of Engineering and Leather Technology, Kolkata, LB-Block, Sector III, Salt Lake, 700106, India; email: gmclt@shotmail.com; CODEN: JSLTB | RAYYAN-LABELS: Producto: Materiale,Producto: Biomoléculas,Residuos: Residuos sólidos,Residuos: Residuos con cromo,Residuos: Residuos sin cromo,Tipo de valorización: Valorización química,Tipo de valorización: Valorización biológica",,Tanning;Leather wastes;Resources utilizations;Waste to wealth;Leather,,
rayyan-508874013,Resource Utilization of Bovine Hair Recycling from Enzymatic Unhairing during Leather Manufacturing: Alkali-Protease Synergistic Preparation of Keratin and its in Vitro Antioxidant Activity,2023,,,Journal of the American Leather Chemists Association,00029726 (ISSN),118,9,367-378,"Liu, T. and Zhang, C. and Zhang, X. and Peng, B. and Gao, M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183076484&partnerID=40&md5=5378c8437035b4c79e5f0f64ea0d48e5,English,American Leather Chemists Association,"[""National Engineering Laboratory for Clean Technology of Leather Manufacture, Sichuan University, Chengdu, 610065, China"", ""Key Laboratory of Leather Chemistry and Engineering of Ministry of Education, Sichuan University, Sichuan, Chengdu, 610065, China""]",,"Export Date: 30 March 2026; Cited By: 0; Correspondence Address: C. Zhang; National Engineering Laboratory for Clean Technology of Leather Manufacture, Sichuan University, Chengdu, 610065, China; email: chunxiaozhang@scu.edu.cn; B. Peng; National Engineering Laboratory for Clean Technology of Leather Manufacture, Sichuan University, Chengdu, 610065, China; email: pengbiyu@scu.edu.cn; CODEN: JALCA | RAYYAN-LABELS: Producto: Biomoléculas,Residuos: Residuos sólidos,Residuos: Residuos sin cromo,Tipo de valorización: Valorización química,Tipo de valorización: Valorización biológica",,Antioxidants;Enzymes;Extraction;Leather;Mammals;Recycling;Alkali concentrations;Antioxidant activities;Concentration-time;Enzyme dosage;In-vitro;Leather industries;Leather making;Leather manufacturing;Pre-treatments;Resources utilizations;Keratin,,
rayyan-508874015,Coagulation-adsorption-oxidation for removing dyes from tannery wastewater,2023,,,Environmental Monitoring and Assessment,01676369 (ISSN),195,6,,"Mim, S. and Hashem, M.A. and Payel, S.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159723504&doi=10.1007%2Fs10661-023-11309-3&partnerID=40&md5=25d986a678cec9c5467704b31f97cadb,English,Springer Science and Business Media Deutschland GmbH,"Department of Leather Engineering, Khulna University of Engineering & Technology, Khulna, 9203, Bangladesh",,"Export Date: 30 March 2026; Cited By: 20; Correspondence Address: M.A. Hashem; Department of Leather Engineering, Khulna University of Engineering & Technology, Khulna, 9203, Bangladesh; email: hashem_518@yahoo.com; CODEN: EMASD | RAYYAN-LABELS: Producto: Materiale,Residuos: Residuos sólidos,Residuos: Residuos con cromo,Residuos: Residuos líquidos,Tipo de valorización: Valorización térmica,Tipo de valorización: Aplicaciones ambientales",10.1007/s10661-023-11309-3,"Adsorption;Biochar;Coagulation;Dye;Oxidation;Tannery wastewater;Adsorption;Charcoal;Coloring Agents;Environmental Monitoring;Hydrogen-Ion Concentration;Kinetics;Solid Waste;Spectroscopy, Fourier Transform Infrared;Wastewater;Water Pollutants, Chemical;Biochemical oxygen demand;Coagulation;Dyes;Effluents;Energy dispersive spectroscopy;Fourier transform infrared spectroscopy;Oxidation;Oxygen;Scanning electron microscopy;Solid wastes;charcoal;dye;coloring agent;Biochar;Brunauer-Emmett-Teller method;Charge analysis;Dye removal;Point of zero charge;Scanning electrons;Surface area;Surface area analysis;Tannery solid wastes;Tannery wastewater;adsorption;biochar;biochemical oxygen demand;chemical oxygen demand;coagulation;dispersion;dye;FTIR spectroscopy;industrial waste;oxidation;scanning electron microscopy;sludge;surface area;wastewater treatment;adsorption;Article;biochemical oxygen demand;biodegradability;bioremediation;Brunauer Emmett Teller method;chemical Coagulation;chemical oxygen demand;electric conductivity;energy dispersive X ray spectroscopy;environmental factor;Fourier transform infrared spectroscopy;isotherm;kinetics;leather industry;oxidation;parameters;particle size;pH;scanning electron microscopy;sludge;solid waste;solvent extraction;surface charge;tannery wastewater;X ray diffraction;adsorption;chemistry;environmental monitoring;wastewater;water pollutant;Adsorption",,
rayyan-508874016,Ultrasound-assisted extraction of chromium from tanned leather shavings: A promising continuous flow technology for the treatment of solid waste,2022,,,Ultrasonics Sonochemistry,13504177 (ISSN),89,,,"Pedrotti, M.F. and Santos, D. and Cauduro, V.H. and Bizzi, C.A. and Flores, E.M.M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136157686&doi=10.1016%2Fj.ultsonch.2022.106124&partnerID=40&md5=9ffc35c6508fc41bd87c5a9a171fef28,English,Elsevier B.V.,"[""Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul, Feliz, Brazil"", ""Departamento de Engenharia Química, Universidade Federal de Santa Maria, Santa Maria, Brazil"", ""Departamento de Química, Universidade Federal de Santa Maria, Santa Maria, Brazil""]",,"Export Date: 30 March 2026; Cited By: 13; Correspondence Address: E.M.M. Flores; Department of Chemistry, Federal University of Santa Maria, Santa Maria, RS, 97105-900, Brazil; email: ericommf@gmail.com; CODEN: ULSOE | RAYYAN-LABELS: Producto: Materiale,Residuos: Residuos sólidos,Residuos: Residuos con cromo,Tipo de valorización: Valorización química",10.1016/j.ultsonch.2022.106124,Chromium continuous flow extraction;Chromium removal;Clamp-on tube US applicator;Continuous extraction using ultrasound;Tanned leather residues;Ultrasound;Chromium;Solid Waste;Technology;Temperature;Applicators;Chromium;Chromium compounds;Extraction;Leather;Tanning;Temperature control;Ultrasonics;Waste treatment;chromium;distilled water;Chromium continuous flow extraction;Chromium removal;Clamp-on tube ultrasound applicator;Condition;Continuous extraction;Continuous extraction using ultrasound;Continuous flow extraction;Tanned leathe residue;Tanned leather;Temperature profiles;Article;comparative study;controlled study;electric resistance;energy consumption;flow rate;leather industry;limit of quantitation;retention time;scanning electron microscopy;solid waste;sound pressure;steady state;ultrasound assisted extraction;technology;temperature;Energy utilization,,
rayyan-508874018,Sustainable utilization of corn starch resources: A novel soluble starch-based functional chrome-free tanning agent for the eco-leather production,2022,,,Industrial Crops and Products,09266690 (ISSN),187,,,"Wang, X. and Su, R. and Hao, D. and Dang, X.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136544715&doi=10.1016%2Fj.indcrop.2022.115534&partnerID=40&md5=37f2c51f6281fcf879ce355c999458de,English,Elsevier B.V.,"[""Institute of Biomass and Function Materials & National Demonstration Centre for Experimental Light Chemistry Engineering Education, College of Bioresources Chemistry and Materials Engineering, Shaanxi University of Science and Technology, Xi'an, 710021, China"", ""College of Chemistry and Chemical Engineering, Shaanxi University of Science and Technology, Shaanxi, Xi'an, 710021, China""]",,"Export Date: 30 March 2026; Cited By: 39; Correspondence Address: X. Wang; Institute of Biomass and Function Materials & National Demonstration Centre for Experimental Light Chemistry Engineering Education, College of Bioresources Chemistry and Materials Engineering, Shaanxi University of Science and Technology, Xi'an, 710021, China; email: wangxc@sust.edu.cn; CODEN: ICRDE | RAYYAN-LABELS: Producto: Materiale,Residuos: Residuos con cromo,Residuos: Residuos líquidos,Tipo de valorización: Valorización química",10.1016/j.indcrop.2022.115534,Biomass;Chrome-free tanning agent;Epoxy-modified starch;Fourier transform infrared spectroscopy;Starch;Tanning;Chrome-free;Chrome-free tanning agent;Epoxy;Epoxy-modified starch;Isocyanurate;Leather processing;Modified starches;Soluble starch;Starch-based;Tanning agents;activated sludge;biomass;collagen;data processing;nuclear magnetic resonance;starch;sustainability;Leather,,
rayyan-508874019,Efficient electrochemical advanced degradation of Red CL and Red WB dyes from the tanning industry using a boron-doped diamond anode,2024,,,Chemosphere,00456535 (ISSN),363,,,"Herrera-Chávez, S. and Pacheco-Álvarez, M. and Kadier, A. and Brillas, E. and Peralta-Hernández, J.M.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85198531945&doi=10.1016%2Fj.chemosphere.2024.142825&partnerID=40&md5=e9aed9e2490312944c36728fe6a8b451,English,Elsevier Ltd,"[""Departamento de Química, División de Ciencias Naturales y Exactas, Universidad de Guanajuato, Cerro de la Venada s/n, Pueblito de Rocha, Guanajuato, 36040, Mexico"", ""Laboratory of Environmental Science and Technology, The Xinjiang Technical Institute of Physics and Chemistry, Key Laboratory of Functional Materials and Devices for Special Environments, Chinese Academy of Sciences, Urumqi, 830000, China"", ""Center of Materials Science and Optoelectronics Engineering, University of Chinese Academy of Sciences, Beijing, 100049, China"", ""Laboratori d'Electroquímica dels Materials i del Medi Ambient, Secció de Química Física, Facultat de Química, Universitat de Barcelona, Martí i Franquès 1-11, Barcelona, CP 08028, Spain""]",,"Export Date: 30 March 2026; Cited By: 5; Correspondence Address: J.M. Peralta-Hernández; Departamento de Química, División de Ciencias Naturales y Exactas, Universidad de Guanajuato, Guanajuato, Cerro de la Venada s/n, Pueblito de Rocha, 36040, Mexico; email: juan.peralta@ugto.mx; CODEN: CMSHA | RAYYAN-LABELS: Producto: Materiale,Residuos: Residuos líquidos,Tipo de valorización: Aplicaciones ambientales",10.1016/j.chemosphere.2024.142825,"Electro-Fenton;Electrochemical oxidation;Photoelectro-Fenton;Tannery dyes;Wastewater treatment;Azo Compounds;Boron;Coloring Agents;Diamond;Electrochemical Techniques;Electrodes;Hydrogen Peroxide;Iron;Oxidation-Reduction;Photolysis;Tanning;Ultraviolet Rays;Waste Disposal, Fluid;Water Pollutants, Chemical;Anodes;Azo dyes;Boolean functions;Boron;Carboxylation;Chemical oxygen demand;Discoloration;Energy utilization;Iron compounds;Irradiation;Photolysis;Sodium sulfate;Wastewater treatment;azo dye;boron;carboxylic acid;diamond;ferric ion;hydrogen peroxide;hydroxyl radical;organic matter;azo compound;coloring agent;iron;Azo-dyes;BDD anodes;Boron-doped diamond anodes;Electro-fenton;Electrochemicals;Oxidation process;Photoelectro-fenton;Raw water;Tannery dye;Tanning industry;catalyst;degradation;diamond;dye tracer;oxidant;oxidation;photolysis;Article;chemical structure;chromatophore;current density;cyclic voltammetry;degradation;diffusion;electrochemical analysis;electrolysis;energy consumption;high performance liquid chromatography;illumination;leather industry;oxidation;pH;photolysis;reaction time;retention time;ultraviolet A radiation;chemistry;electrochemical analysis;electrode;leather industry;oxidation reduction reaction;procedures;sewage;ultraviolet radiation;water pollutant;Electrochemical oxidation",,
rayyan-508874021,A novel complex coupling agent for enhancing the compatibility between collagen fiber and natural rubber: A utilization strategy for leather wastes,2024,,,International Journal of Biological Macromolecules,01418130 (ISSN),265,,,"Li, X. and Lei, C. and Wan, J. and Xu, W. and Zhou, J. and Shi, B.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188441869&doi=10.1016%2Fj.ijbiomac.2024.130942&partnerID=40&md5=c35176ca1761fbd5a4b91ce1fdd0c924,English,Elsevier B.V.,"[""National Engineering Laboratory for Clean Technology of Leather Manufacture, Sichuan University, Chengdu, 610065, China"", ""Key Laboratory of Leather Chemistry and Engineering of Ministry of Education, Sichuan University, Chengdu, 610065, China"", ""College of Biomass Science and Engineering (Sichuan University), Chengdu, 610065, China""]",,"Export Date: 30 March 2026; Cited By: 8; Correspondence Address: W. Xu; National Engineering Laboratory for Clean Technology of Leather Manufacture, Sichuan University, Chengdu, 610065, China; email: xuwx@scu.edu.cn; CODEN: IJBMD | RAYYAN-LABELS: Producto: Materiale,Residuos: Residuos sólidos,Residuos: Residuos con cromo,Tipo de valorización: Valorización química",10.1016/j.ijbiomac.2024.130942,Biomass composites;Collagen fiber;Complex coupling agent;Interfacial interaction;Natural rubber;Collagen;Industrial Waste;Rubber;Solid Waste;Solvents;Chromium compounds;Collagen;Coordination reactions;Leather;Organic solvents;Solid wastes;chromium;collagen;metal complex;methacrylic acid;nanocomposite;organic solvent;plasticizer;rubber;silane;surfactant;xingye;solvent;Biomass composites;Collagen fibres;Complex coupling agent;Complex-coupling;Environmental pollutions;Interfacial interaction;Leather industries;Leather wastes;Methacrylic acids;Utilization strategy;Article;biomass;chemical oxygen demand;collagen fiber;cross linking;glass transition temperature;hydrophilicity;infrared spectroscopy;leather industry;melting point;nanofabrication;nonhuman;particle size;pollution;pyrolysis;Raman spectrometry;scanning electron microscopy;solid waste;surface property;tensile strength;thermogravimetry;X ray diffraction;chemistry;industrial waste;Rubber,,
rayyan-508874022,Applications of enzymes in leather processing,2020,,,Environmental Chemistry Letters,16103653 (ISSN),18,3,747-769,"Khambhaty, Y.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082939323&doi=10.1007%2Fs10311-020-00971-5&partnerID=40&md5=7792138b250db9e19bc5e097f1a71759,English,Springer Science and Business Media Deutschland GmbH,"Leather Process Technology Department, CSIR-Central Leather Research Institute, Adyar, Chennai, 600 020, Tamil Nadu, India",,"Export Date: 30 March 2026; Cited By: 111; Correspondence Address: Y. Khambhaty; Leather Process Technology Department, CSIR-Central Leather Research Institute, Adyar, Chennai, 600 020, India; email: yasmink@clri.res.in | RAYYAN-LABELS: Producto: Biomoléculas,Residuos: Residuos sólidos,Residuos: Residuos líquidos,Tipo de valorización: Valorización biológica",10.1007/s10311-020-00971-5,Bating;Degreasing;Dehairing;Enzymes;Leather industry;Soaking;Waste management;Energy conservation;Energy utilization;Environmental regulations;Health hazards;Leather;Mammals;Sustainable development;Tanning;Waste management;Bating;De-greasing;Dehairing;Eco-friendly;Foreign exchange;Leather industries;Leather making;Leather processing;Soaking;Toxic chemicals;Enzymes,,
rayyan-508874023,Nonconventional utilization of rejected hides and skins,2025,,,Journal of Applied Animal Research,09712119 (ISSN),53,1,,"Daniel, C.P. and Mgaya, A.M. and Aboud, A.A.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105021092786&doi=10.1080%2F09712119.2025.2577707&partnerID=40&md5=627be245908f2aebfe5f047e883bcdd5,English,Taylor and Francis Ltd.,"[""State Key Laboratory of Animal Nutrition, Institute of Animal Science, Chinese Academy of Agricultural Sciences, Beijing, China"", ""Ministry of Livestock and Fisheries, Grazing Land and Animal Feed Resources Development Division, Dodoma, Tanzania"", ""Centre of Excellence in Aquaculture and Fisheries (AquaFish), Lilongwe University of Agriculture and Natural Resources, Lilongwe, Malawi"", ""Mbarali District Council, Department of Livestock and Fisheries, Rujewa-Mbeya, Tanzania"", ""Sokoine University of Agriculture, Faculty of Agriculture, Department of Animal, Aquaculture and Range Sciences, Chuo Kikuu, Morogoro, Tanzania""]",,"Export Date: 30 March 2026; Cited By: 0; Correspondence Address: C.P. Daniel; State Key Laboratory of Animal Nutrition, Institute of Animal Science, Chinese Academy of Agricultural Sciences, Beijing, 100193, China; email: chrisdanija@gmail.com | RAYYAN-LABELS: Producto: Materiale,Residuos: Residuos sólidos,Residuos: Residuos sin cromo,Tipo de valorización: Valorización química",10.1080/09712119.2025.2577707,glue production;hides and skins;leather;Livestock;value addition;collagen;surgical glue;adult;aged;Article;chemical structure;cross-sectional study;female;health care utilization;homogeneous catalysis;human;leather industry;livestock;male;middle aged;nonconventional utilization;skin;slaughterhouse;tensile strength,,
