title,authors,year,journal,doi,labels,appears_in_multiple_labels,downloaded
Comparison of Spectroscopy-Based Methods and Chemometrics to Confirm Classification of Specialty Coffees,"Belchior, V. and Botelho, B.G. and Franca, A.S.",2022,Foods,10.3390/foods11111655,specialty_coffee,False,no
Specialty and regular coffee bean quality for cold and hot brewing: Evaluation of sensory profile and physicochemical characteristics,"Córdoba, N. and Moreno, F.L. and Osorio, C. and Velásquez, S. and Fernandez-Alduenda, M. and Ruiz-Pardo, Y.",2021,LWT,10.1016/j.lwt.2021.111363,specialty_coffee,False,no
"Coffee Drying and Processing Method Influence Quality of Arabica Coffee Varieties (Coffea arabica L.) at Gomma i and Limmu Kossa, Southwest Ethiopia","Firdissa, E. and Mohammed, A. and Berecha, G. and Garedew, W.",2022,Journal of Food Quality,10.1155/2022/9184374,solar_drying,False,no
A field survey on coffee beans drying methods of Indonesian small holder farmers,"Siagian, P. and Setyawan, E.Y. and Gultom, T. and Napitupulu, F.H. and Ambarita, H.",2017,IOP Conference Series: Materials Science and Engineering,10.1088/1757-899X/237/1/012037,solar_drying,False,no
Thermo-economic comparative of open-greenhouse and sun-patio coffee drying in the Sierra Mariscal Chiapas-México,"Santizo-Díaz, D. and Flores-Prieto, J.J.",2025,Case Studies in Thermal Engineering,10.1016/j.csite.2025.106072,solar_drying,False,no
Changes in physico-chemical characteristics of robusta coffee (Coffea canephora) during natural process using simple solar dryer,"Harijono, M.F.W. and Wulan, S.N. and Ali, D.Y. and Riza D.F.A. and Izza N. and Gustinasari K. and Maharsih I.K. and Sunarharum W.B. and Nurcholis M. and Dewanti B.S.D. and Widayanti V.T. and Mufidah E. and Qisthiya I. and Karadag D. and Idrus S. and Umakoshi H. and Lee Y.C. and Fatchurrahman D. and Zhu M. and Omwange K.A. and Addini T.",2024,BIO Web of Conferences,10.1051/bioconf/20249001003,solar_drying,False,no
Rice husk energy rotary dryer experiment for improved solar drying thermal performance on cherry coffee,"Bawa Susana, I.G. and Alit, I.B. and Okariawan, I.D.K.",2023,Case Studies in Thermal Engineering,10.1016/j.csite.2022.102616,solar_drying,False,no
Preliminary study of drying of natural coffee by cyclical pressure changes,"Parra-Coronado, A. and García-Navarrete, O.L. and Vanegas-Izquierdo, F.A. and Gamboa-Gamboa, J.A. and González-Mora, A.F. and Ramírez-González, D.A.",2020,DYNA (Colombia),10.15446/DYNA.V87N214.83414,solar_drying,False,no
Bioclimatic performance of wet coffee processing facilities: Conditions for workers and coffee,"Guerra García, L.M. and Osorio Hernández, R. and Saráz, J.A.O. and Carlo, J.C. and Damasceno, F.A.",2022,Revista Facultad Nacional de Agronomia Medellin,10.15446/RFNAM.V75N1.96247,coffee_processing,False,no
Enhancing the performance of conventional coffee beans drying with low-temperature geothermal energy by applying HPHE: An experimental study,"Gunawan, Y. and Margono, K.T. and Rizky, R. and Putra, N. and Faqih, R.A. and Hakim, I.I. and Setiadanu, G.T. and Suntoro, D. and Kasbi, S. and Nafis, S.",2021,Open Agriculture,10.1515/opag-2021-0053,mechanical_drying,False,no
