title,authors,year,journal,doi,labels,appears_in_multiple_labels,downloaded
Bioclimatic performance of wet coffee processing facilities: Conditions for workers and coffee,"Guerra García, L.M. and Osorio Hernández, R. and Saráz, J.A.O. and Carlo, J.C. and Damasceno, F.A.",2022,Revista Facultad Nacional de Agronomia Medellin,10.15446/RFNAM.V75N1.96247,coffee_processing,False,no
Exploring the impacts of postharvest processing on the microbiota and metabolite profiles during green coffee bean production,"De Bruyn, F. and Zhang, S.J. and Pothakos, V. and Torres, J. and Lambot, C. and Moroni, A.V. and Callanan, M. and Sybesma, W. and Weckx, S. and De Vuyst, L.",2017,Applied and Environmental Microbiology,10.1128/AEM.02398-16,coffee_processing,False,no
Protein profiles and physiological performance of coffee seeds subjected to different processing and drying methods,"Taveira, J.H.S. and da Rosa, S.D.V.F. and Borém, F.M. and Giomo, G.S. and Saath, R.",2012,Pesquisa Agropecuaria Brasileira,10.1590/S0100-204X2012001000014,coffee_processing,False,no
Simulation of a thermal environment in two buildings for the wet processing of coffee,"Osorio-Hernandez, R. and Guerra-Garcia, L.M. and Ferreira-Tinôco, I.D.F. and Osorio-Saraz, J.A. and Aristizábal-Torres, I.D.",2015,DYNA (Colombia),10.15446/dyna.v82n194.49526,coffee_processing,False,no
Effect of the postharvest processing method on the biochemical composition and sensory analysis of arabica coffee,"Rodriguez, Y.F.B. and Guzman, N.G. and Hernandez, J.G.",2020,Engenharia Agricola,10.1590/1809-4430-ENG.AGRIC.V40N2P177-183/2020,coffee_processing,False,no
POSTHARVEST EFFECTS ON THE PHYSICAL QUALITY AND SENSORY CHARACTERISTICS OF COFFEA CANEPHORA,"Velásquez, S. and Banchón, C. and Farfán, D. and Guerrero-Casado, J.",2023,"Acta Scientiarum Polonorum, Technologia Alimentaria",10.17306/J.AFS.2023.1181,coffee_processing,True,no
CHANGES IN TEXTURAL PROPERTIES AND COLOR DUE TO THE PROCESSING METHOD OF GREEN COFFEA ARABICA,"Poláková, K. and Bobková, A. and Demianová, A. and Belej, Ľ. and Jurčaga, L. and Bobko, M. and Mesárošová, A. and Žiak, M.",2022,"Journal of Microbiology, Biotechnology and Food Sciences",10.55251/jmbfs.9458,coffee_processing,True,no
Sensory quality of coffea arabica l. Genotypes influenced by postharvest processing,"Barbosa, I.P. and de Oliveira, A.C.B. and Rosado, R.D.S. and Sakiyama, N.S. and Cruz, C.D. and Pereira, A.A.",2019,Crop Breeding and Applied Biotechnology,10.1590/1984-70332019v19n4a60,coffee_processing,True,no
"Quality of arabic coffee under different processing systems, drying methods and altitudes","Do Carmo, K.B. and Do Carmo, J.C.B. and Krause, M.R. and Moreli, A.P. and Lo Monaco, P.A.V.",2020,Bioscience Journal,10.14393/BJ-v36n4a2020-47890,coffee_processing,True,no
Activation Energy Analysis of Coffee Beans Drying Using Double Condenser Refrigeration System,"Dzaky, M.I. and Kosasih, E.A. and Fauzi, M.B. and Prabowo, A.T. and Zikri, A. and Wibowo F.C. and Taufik null and Samsudin A. and Budi E. and Indrasari W. and Nasbey H. and Prayitno T.B. and Bakri F. and Muliyati D. and Sanjaya L.A.",2022,Journal of Physics: Conference Series,10.1088/1742-6596/2377/1/012058,coffee_processing,True,no
"Comparative Life Cycle Assessment (LCA) in the Agri-Food Industry, Focusing on Organic and Conventional Coffee","Hasan, Y. and Roy, P. and Abbassi, B.",2024,Sustainability (Switzerland),10.3390/su162410819,coffee_processing,False,no
The influence of natrural fermentation on coffee drink quality,"Pereira, L.F.B. and Franco Junior, K.S. and Barbosa, C.K.R.",2020,Coffee Science,10.25186/.v15i.1673,coffee_processing,True,no
Physical and sensorial quality of arabica coffee cultivars submitted to two types of post-harvesting processing,"Alixandre, R.D. and Alixandre, F.T. and de Lima, P.A.M. and Fornazier, M.J. and Krohling, C.A. and Do Amaral, J.F.T. and Guarçoni, R.C. and da Silva Dias, R. and Venturini, C.F. and Macette, H.A. and Zandonadi, C.U. and Viçosi, D.B.",2023,Coffee Science,10.25186/.v18i.2081,coffee_processing,False,no
Endo-β-mannanase enzyme activity in the structures of coffea arabica l. Seeds under different types of processing and drying,"Ferreira, V.F. and Ricaldoni, M.A. and da Rosa, S.D.V.F. and de Figueiredo, M.A. and Coelho, S.V.B. and Fantazzini, T.B.",2018,Ciencia Rural,10.1590/0103-8478cr20170839,coffee_processing,False,no
Impact of immature coffee fruits and water addition during spontaneous fermentation process: Chemical composition and sensory profile,"Ferreira, L.J.C. and Casé, I.N. and Bertarini, P.L.L. and Oliveira, L.M.D. and Santos, L.D.",2024,Electronic Journal of Biotechnology,10.1016/j.ejbt.2024.04.001,coffee_processing,False,no
Effects of geographical origin and post-harvesting processing on the bioactive compounds and sensory quality of Brazilian specialty coffee beans,"Tieghi, H. and Pereira, L.D.A. and Viana, G.S. and Katchborian-Neto, A. and Santana, D.B. and Mincato, R.L. and Dias, D.F. and Chagas-Paula, D.A. and Soares, M.G. and de Araújo, W.G. and Bueno, P.C.P.",2024,Food Research International,10.1016/j.foodres.2024.114346,coffee_processing,True,no
"Coffee bean processing: Emerging methods and their effects on chemical, biological and sensory properties","Febrianto, N.A. and Zhu, F.",2023,Food Chemistry,10.1016/j.foodchem.2023.135489,coffee_processing,True,no
Sensory and physiological quality of arabic coffee under different fermentation times,"Do Carmo, K.B. and Do Carmo, J.C.B. and Krause, M.R. and Peterle, G.",2020,Bioscience Journal,10.14393/BJ-v36n2a2020-43255,coffee_processing,False,no
Bioclimatic analysis of three buildings for wet processing of coffee in Colombia,"Hernández, R.O. and Tinôco, I.F.F. and Carlo, J.C. and Saraz, J.A.O. and Torres, I.D.A.",2018,Revista Facultad Nacional de Agronomia Medellin,10.15446/rfnam.v71n3.64566,coffee_processing,True,no
Computational fluid dynamics assessment of effect of different openings configurations on the thermal environment of a facility for coffee wet processing,"Hernandez, R.O. and Saraz, J.A.O. and Oliveira, K.S. and Aristizaba, I.D. and Arango, J.C.",2020,Journal of Agricultural Engineering,10.4081/jae.2020.892,coffee_processing,False,no
"The role of wet fermentation in enhancing coffee flavor, aroma and sensory quality","Elhalis, H. and Cox, J. and Frank, D. and Zhao, J.",2021,European Food Research and Technology,10.1007/s00217-020-03641-6,coffee_processing,False,no
