title,authors,year,journal,doi,labels,appears_in_multiple_labels,downloaded
Proposal for implantation of coffee drying greenhouse with parabolic cover and adapted modular structure,"Briceño-Martínez, B. and Castillo-Calderón, J. and Carrión-Jaura, R. and Díaz-Sinche, D.",2020,Ingenius,10.17163/ings.n24.2020.04,dryer_design,False,no
Design of a Continuous Coffee Bean Solar Dryer,"Ambarita, H. and Munthe, H.K.J. and Hutagalung, T.",2020,Journal of Physics: Conference Series,10.1088/1742-6596/1542/1/012025,dryer_design,False,no
LOW COST TELEMONITORING TECHNOLOGY OF SEMISPHERICAL SOLAR DRYER FOR DRYING ARABICA COFFEE BEANS,"Pramono, E.K. and Karim, M.A. and Fudholi, A. and Bulan, R. and Lapcharoensuk, R. and Sitorus, A.",2022,INMATEH - Agricultural Engineering,10.35633/inmateh-66-34,dryer_design,False,no
Controlling temperature using proportional integral and derivative control algorithm for hybrid forced convection solar dryer,"Arifin, M.A. and Pangaribuan, P. and Pramudita, B.A. and Megantoro, P.",2024,International Journal of Electrical and Computer Engineering,10.11591/ijece.v14i1.pp239-247,dryer_design,False,no
Scaling-up electrohydrodynamic drying for energy-efficient food drying via physics-based simulations,"Onwude, D.I. and Iranshahi, K. and Rubinetti, D. and Martynenko, A. and Defraeye, T.",2021,Journal of Cleaner Production,10.1016/j.jclepro.2021.129690,dryer_design,False,no
A Technological Update on Heat Pumps for Industrial Applications,"Bobbo, S. and Lombardo, G. and Menegazzo, D. and Vallese, L. and Fedele, L.",2024,Energies,10.3390/en17194942,dryer_design,False,no
"Design and fabricate a smart, energy-efficient, and quality-centric drum drying system","Ibrahim, A. and Amer, A. and Aboelasaad, G. and Hassan, M.F. and Elsebaee, I. and Gamal, A. and ElKholy, M.",2025,Discover Food,10.1007/s44187-025-00617-x,dryer_design,False,no
Design and Experiment of Drying Equipment for Alfalfa Bales,"Du, J. and Sun, Z. and Chen, Z.",2025,Agriculture (Switzerland),10.3390/agriculture15192000,dryer_design,False,no
Improvements in drying technologies - Efficient solutions for cleaner production with higher energy efficiency and reduced emission,"Chojnacka, K. and Mikula, K. and Izydorczyk, G. and Skrzypczak, D. and Witek-Krowiak, A. and Moustakas, K. and Ludwig, W. and Kułażyński, M.",2021,Journal of Cleaner Production,10.1016/j.jclepro.2021.128706,dryer_design,False,no
Modelling of a continuous veneer drying unit of industrial scale and model-based ANOVA of the energy efficiency,"Gradov, D.V. and Yusuf, Y.O. and Ohjainen, J. and Suuronen, J. and Eskola, R. and Roininen, L. and Koiranen, T.",2022,Energy,10.1016/j.energy.2021.122673,dryer_design,False,no
Study on the variable-temperature drying process of corn drying in an industrial corn-drying system equipped with a self-adaptive control heat exchanger,"Li, B. and Zeng, Z. and Zhang, X. and Zhang, Y.",2021,Applied Sciences (Switzerland),10.3390/app11062772,dryer_design,False,no
Design and Development of Equipment forAgricultural Grains and Coffee Cherry,"Stanley, G. and Thufail, M. and Gopala, M. and Ali, S.M. and Tanappagol, P. and Anthony, J. and Hegde R. and Kodi S.K.S. and Rao G.",2024,AIP Conference Proceedings,10.1063/5.0195881,dryer_design,False,no
