title,authors,year,journal,doi,labels,appears_in_multiple_labels,downloaded
Drying air temperature profile of independent hybrid solar dryer for agricultural products in respect to different energy supplies (a research note),"Yuwana, Y. and Silvia, E. and Sidebang, B. and Habazar T. and Yonariza null and Yulnafatmawita null and Mahdi null and Hayati D. and Arief I.",2020,IOP Conference Series: Earth and Environmental Science,10.1088/1755-1315/583/1/012033,drying_kinetics,False,no
Analysis of temperature and velocity distributions in a solar drying box coffee beans,"Siagian, P. and Napitupulu, F.H. and Setyawan, E.Y. and Siagian, L. and Napitupulu, R.A.M. and Ambarita, H.",2018,IOP Conference Series: Materials Science and Engineering,10.1088/1757-899X/420/1/012035,drying_kinetics,False,no
Determination of appropriate effective diffusivity for different food materials,"Khan, M.I.H. and Kumar, C. and Joardder, M.U.H. and Karim, M.A.",2017,Drying Technology,10.1080/07373937.2016.1170700,drying_kinetics,False,no
Individual and interactive effect of ultrasound pre-treatment on drying kinetics and biochemical qualities of food: A critical review,"Pandiselvam, R. and Aydar, A.Y. and Kutlu, N. and Aslam, R. and Sahni, P. and Mitharwal, S. and Gavahian, M. and Kumar, M. and Raposo, A. and Yoo, S. and Han, H. and Kothakota, A.",2023,Ultrasonics Sonochemistry,10.1016/j.ultsonch.2022.106261,drying_kinetics,False,no
Improving Mechanical Coffee Drying with Recycled Insulating Materials: A Thermal Efficiency and Economic Feasibility Analysis,"Cruz-Ospina, V. and Duque-Dussán, E. and Sanz-Uribe, J.R.",2026,Foods,10.3390/foods15020367,drying_kinetics,False,no
Monitoring moisture content in parchment coffee beans during drying using Fourier Transform near infrared (FT-NIR) spectroscopy: A dataset for calibrating chemometric-based models for moisture prediction,"Ordoñez-Lozano, S. and Collazos-Escobar, G.A. and Bahamón-Monje, A.F. and Gutiérrez-Guzmán, N.",2025,Data in Brief,10.1016/j.dib.2025.111436,drying_kinetics,False,no
Efficiency Investigation of Coffee Production Waste Drying by Filtration Method,"Ivashchuk, O.S. and Atamanyuk, V.M. and Chyzhovych, R.A.",2024,Journal of Engineering Sciences (Ukraine),10.21272/jes.2024.11(2).f2,drying_kinetics,False,no
Thin-layer drying of parchment Arabica coffee by controlling temperature and relative humidity,"Phitakwinai, S. and Thepa, S. and Nilnont, W.",2019,Food Science and Nutrition,10.1002/fsn3.1144,drying_kinetics,False,no
Enhancing rotary dryer efficiency: Adjusting blower speed for optimal temperature stability in coffee bean drying,"Syamsiana, I.N. and Nafisah, N. and Suma, A.D.W. and Fiernaningsih, N. and Amalia, R.N. and Nurwicaksana, W.A.",2025,MethodsX,10.1016/j.mex.2025.103477,drying_kinetics,False,no
Comparative analysis of drying coffee beans using microwave and conventional oven,"Muñoz-neira, M.J. and Roa-ardila, M.F. and Correa-celi, C.R.",2020,Revista Facultad de Ingenieria,10.17533/udea.redin.20191151,drying_kinetics,False,no
Modeling effectiveness analysis of momentum and heat transfer in a fixed bed silo-dryer through computational fluid-dynamics,"Mateus, F.L.B. and Júnior, I.P.",2021,Coffee Science,10.25186/.V16I.1902,drying_kinetics,False,no
Experimental Analysis and Numerical Simulation of Coffee Bean Drying in Packed Beds with Different Coffee Bean Stack Height,"Fauzi, M.B. and Kosasih, E.A. and Dzaky, M.I. and Nasution, G.G. and Zikri, A.",2025,Journal of Advanced Research in Fluid Mechanics and Thermal Sciences,10.37934/arfmts.128.2.122138,drying_kinetics,False,no
Improving Coffee Bean Drying Performance Using Polydryer (Dryer Assisted with Superabsorbent Polymer),"Abidin, A.Z. and Steven, S. and Yemensia, E.V. and Satyodriyani, K.R. and Syahriani, W.F. and Abidin, T. and Putra, R.P.",2024,International Journal of Chemical Engineering,10.1155/2024/1559845,drying_kinetics,False,no
Simulation of temperature and air flow distribution in coffee drying chamber using low enthalpy geothermal energy resource with thermosiphon technology,"Hakim, I.I. and Palupi, I.D. and Putra, N. and Ariyadi H.M. and Indarto null and Kamal S. and Saptoadi H. and Deendarlianto null",2024,AIP Conference Proceedings,10.1063/5.0188419,drying_kinetics,False,no
Mathematical modelling and immediate and latent quality of natural immature coffee under different drying conditions,"de Andrade, E.T. and Lemos, I.A. and Dias, C.A. and Rios, P.A. and Borém, F.M.",2019,Engenharia Agricola,10.1590/1809-4430-Eng.Agric.v39n5p630-638/2019,drying_kinetics,False,no
Analysis on the Performance of Designed Fluidized Bed Dryer for Drying Coffee Beans,"Konsil, K.K. and Sazali, N. and Kadirgama, K. and Harun, W.S.W. and Zainol, N.",2023,Journal of Advanced Research in Applied Sciences and Engineering Technology,10.37934/araset.31.1.99109,drying_kinetics,False,no
Comparative analysis of heating efficiency in a coffee bean dryer machine using one and two thermoelectric peltier modules,"Mustafa, M.M. and Khalid, F. and Sariman, M.Z. and Aminordin, A. and Shafie, A.M.M.",2025,IOP Conference Series: Earth and Environmental Science,10.1088/1755-1315/1535/1/012012,drying_kinetics,False,no
Thermal design of 5 kg capacity coffee bean dryer simulator using Geothermal energy,"Hendrarsakti, J. and Firmansyah, M.R.",2019,IOP Conference Series: Earth and Environmental Science,10.1088/1755-1315/254/1/012019,drying_kinetics,False,no
Influence of drying condition on the drying constants and activation energy for robusta coffee using heat pump drying,"Fauzi, M.B. and Kosasih, E.A. and Dzaky, M.I. and Tong C.W. and Man T.V. and Huat B.S.L. and Hoe W.K.",2024,IOP Conference Series: Earth and Environmental Science,10.1088/1755-1315/1372/1/012105,drying_kinetics,False,no
Modeling and simulation of heat and mass transfer during drying of coffee in a box dryer using C++ programming language,"Rabello, G.L. and Pimentel, U.F. and Aranda, D. and Poubel, W.",2021,Brazilian Journal of Food Technology,10.1590/1981-6723.27220,drying_kinetics,False,no
Implementation of fuzzy logic control algorithm for temperature control in robusta rotary dryer coffee bean dryer,"Nafisah, N. and Syamsiana, I.N. and Putri, R.I. and Kusuma, W. and Sumari, A.D.W.",2024,MethodsX,10.1016/j.mex.2024.102580,drying_kinetics,False,no
Physicochemical and Sensory Properties of Arabica Coffee Beans of Arara cv. Dried Using Different Methods,"Coelho, E.G. and Bertarini, P.L.L. and Gomes, M.S. and Amaral, L.R. and Zotarelli, M.F. and Santos, L.D. and Santana, R.C.",2024,Foods,10.3390/foods13050642,drying_kinetics,False,no
Development of a novel isothermal heat and mass exchanger for humidity control,"Rahnama, A. and Najafpour, S. and Bahrami, M.",2025,Applied Thermal Engineering,10.1016/j.applthermaleng.2024.125227,drying_kinetics,False,no
Effects of Relative Humidity on Temperature Dynamics in Natural Ecosystems: Comparison of Measured and Model-Predicted Data,"de Oliveira Maionchi, D. and da Silva, J.G. and de Paulo, I.J.C. and de Paulo, S.R.",2025,Environments - MDPI,10.3390/environments12120455,drying_kinetics,False,no
Effects of humidity control and simulated natural airflow on indoor dynamic thermal comfort,"Cao, S. and Pu, Y. and Gong, W. and Wang, Y.",2025,Building Services Engineering Research and Technology,10.1177/01436244251325186,drying_kinetics,False,no
"Convective and microwave drying kinetics and modeling of tomato slices, energy consumption, and efficiency","Guemouni, S. and Mouhoubi, K. and Brahmi, F. and Dahmoune, F. and Belbahi, A. and Benyoub, C. and Adjeroud-Abdellatif, N. and Atmani, K. and Bakhouche, H. and Boulekbache-Makhlouf, L. and Madani, K.",2022,Journal of Food Process Engineering,10.1111/jfpe.14113,drying_kinetics,False,no
"Phase-segmented analysis of blackberry pomace convective drying: Mass transfer dynamics, exergy efficiency, and staged temperature guidelines","Tejeda-Miramontes, J.P. and Galarza-Andrade, I.J. and Escalante-González, J.A. and Tejada-Ortigoza, V. and García-Cayuela, T. and Garcia-Amezquita, L.E.",2025,LWT,10.1016/j.lwt.2025.118509,drying_kinetics,False,no
Development of hybrid solar-assisted heat pump dryer for drying paddy,"Yahya, M. and Fahmi, H. and Hasibuan, R. and Fudholi, A.",2023,Case Studies in Thermal Engineering,10.1016/j.csite.2023.102936,drying_kinetics,False,no
A Review of Energy-Efficient Technologies and Decarbonating Solutions for Process Heat in the Food Industry,"Faraldo, F. and Byrne, P.",2024,Energies,10.3390/en17123051,drying_kinetics,False,no
"IMPACT OF DRYING TEMPERATURES ON DRYING BEHAVIOURS, ENERGY CONSUMPTION AND QUALITY OF PURPLE SWEET POTATO FLOUR","Thuy, N.M. and Hiep, L.H. and Tai, N.V. and Huong, H.T.T. and Minh, V.Q.",2022,"Acta Scientiarum Polonorum, Technologia Alimentaria",10.17306/J.AFS.2022.1061,drying_kinetics,False,no
"Effect of different drying methods on kinetics, energy-economic analysis, and quality attributes of dried Panax-notoginseng","Hadibi, T. and Mengjie, S. and Hamid, M. and Wang, Y. and Ming, L. and Rong, J. and Allaf, K. and Fang-ling, F. and Cuixian, P. and Arıcı, M. and Hassanien, R.H.E. and Abdelkader, T.K.",2025,Industrial Crops and Products,10.1016/j.indcrop.2024.120345,drying_kinetics,False,no
Current Status of Grain Drying Technology and Equipment Development: A Review,"Yu, P. and Zhu, W. and Shen, C. and Qiao, Y. and Zhang, W. and Zhu, Y. and Gong, J. and Cai, J.",2025,Foods,10.3390/foods14142426,drying_kinetics,False,no
"Effect of pretreatments on convective and infrared drying kinetics, energy consumption and quality of terebinth","Abbaspour-Gilandeh, Y. and Kaveh, M. and Fatemi, H. and Khalife, E. and Witrowa-Rajchert, D. and Nowacka, M.",2021,Applied Sciences (Switzerland),10.3390/app11167672,drying_kinetics,False,no
"Application of experimental, numerical, and machine learning techniques to improve drying performance and decrease energy consumption infrared continuous dryer","El-Mesery, H.S. and Qenawy, M. and Elmesiry, A.H. and Ali, M. and Adelusi, O.A. and Hu, Z. and Salem, A.",2025,Case Studies in Thermal Engineering,10.1016/j.csite.2025.106025,drying_kinetics,False,no
"Effect of tray elevation and cassava load on solar drying performance, energy efficiency, and drying kinetics","Cansee, S. and Saenkham, S. and Hu, S. and Kanasri, T.",2026,Results in Engineering,10.1016/j.rineng.2026.109491,drying_kinetics,False,no
Comparative evaluation of greenhouse gas emissions and specific energy consumption of different drying techniques in pear slices,"Kaveh, M. and Çetin, N. and Gilandeh, Y.A. and Sharifian, F. and Szymanek, M.",2023,European Food Research and Technology,10.1007/s00217-023-04346-2,drying_kinetics,False,no
"Advances in Computational Fluid Dynamics of Mechanical Processes in Food Engineering: Mixing, Extrusion, Drying, and Process Optimization","Szpicer, A. and Bińkowska, W. and Stelmasiak, A. and Wojtasik-Kalinowska, I. and Czajkowska, A. and Mierzejewska, S. and Domiszewski, Z. and Rydzkowski, T. and Piepiórka-Stepuk, J. and Półtorak, A.",2025,Applied Sciences (Switzerland),10.3390/app15158752,drying_kinetics,False,no
Optimization of thermal efficiency and energy consumption in a hybrid infrared heating technique: Artificial intelligence and computational simulations,"Liu, F. and El-Mesery, H.S. and ElMesiry, A.H. and Husein, M. and Mahdi, A.A.",2025,Results in Engineering,10.1016/j.rineng.2025.106054,drying_kinetics,False,no
Impact of different pretreatments on drying kinetics and quality of button mushroom slices dried by hot-air or electrohydrodynamic drying,"Mirzaei-Baktash, H. and Hamdami, N. and Torabi, P. and Fallah-Joshaqani, S. and Dalvi-Isfahan, M.",2022,LWT,10.1016/j.lwt.2021.112894,drying_kinetics,False,no
Study on drying characteristics of yam slices under heat pump-electrohydrodynamics combined drying,"Meng, Z. and Cui, X. and Zhang, H. and Liu, Y. and Wang, Z. and Zhang, F.",2023,Case Studies in Thermal Engineering,10.1016/j.csite.2022.102601,drying_kinetics,False,no
Energy-efficient technologies for thermal treatment and drying of food products,"Burdo, O. and Bezbah, I. and Bandura, V. and Bezbah, S. and Petrovskyi, V. and Osadchuk, P.",2025,Journal of Central European Agriculture,10.5513/JCEA01/26.2.4515,drying_kinetics,False,no
Thermodynamically analysis and optimization of potato drying in a combined infrared/convective dryer,"Geng, Z. and Wang, H. and Torki, M. and Beigi, M. and Zhu, L. and Huang, X. and Yang, X. and Hu, B.",2023,Case Studies in Thermal Engineering,10.1016/j.csite.2022.102671,drying_kinetics,False,no
Improvement of equipment in order to intensify the process of drying dispersed food products,"Sabadash, S. and Savchenko-Pererva, M. and Radchuk, O. and Rozhkova, L. and Zahorulko, A.",2020,Eastern-European Journal of Enterprise Technologies,10.15587/1729-4061.2020.192363,drying_kinetics,False,no
Application of numerical analysis and machine learning techniques to improve drying performance and energy consumption of microwave-assisted convective dryer,"El-Mesery, H.S. and ElMesiry, A.H. and Kaveh, M. and Hu, Z. and Elwakeel, A.E. and Elhadad, S.",2025,Results in Engineering,10.1016/j.rineng.2025.106059,drying_kinetics,False,no
"Examination of different drying methods in sultana seedless grapes in terms of drying kinetics, energy consumption and product quality","Karacabey, E. and Aktas, T. and Taseri, L. and Uysal Seçkin, G.",2020,Journal of Tekirdag Agricultural Faculty,10.33462/jotaf.578962,drying_kinetics,False,no
Simulation of coffee fruit drying using computational fluid dynamics,"Amaral, R. and de Andrade, E.T. and Gomes, F.C. and Borém, F.M. and Lemos, I.A. and de Almeida Dias, C.",2018,Coffee Science,10.25186/cs.v13i4.1489,drying_kinetics,False,no
NUMERICAL APPROACH FOR PREDICTION OF AIRFLOW BEHAVIOR IN COFFEE BEAN MONOLAYERS DURING DRYING PROCESS,"Bustos-Vanegas, J.D. and Aragón, L. and Gutiérrez-Guzmán, N. and Córdoba, N.",2022,Engenharia Agricola,10.1590/1809-4430-ENG.AGRIC.V42N2E20210205/2022,drying_kinetics,False,no
Mathematical modeling of coffee beans drying: addressing challenges of determining moisture ratio under natural conditions,"Romero Leiton, J.P. and Gomez, T.P.C. and Mesa-Mazo, M.J. and Eraso-Checa, F. and Lagos, C. and Sekkak, I.",2025,Coffee Science,10.25186/.v20i.2385,drying_kinetics,False,no
Preservation of fruits through drying—A comprehensive review of experiments and modeling approaches,"Kilic, M. and Sahin, M. and Hassan, A. and Ullah, A.",2024,Journal of Food Process Engineering,10.1111/jfpe.14568,drying_kinetics,False,no
Thermodynamic properties of water adsorption of Coffea arabica L. grains,"Dos Santos, S.G.F. and Almeida, V.G. and Cruz, D.R.C. and Rodovalho, R.S.",2020,Cientifica,10.15361/1984-5529.2020V48N4P302-310,drying_kinetics,False,no
