title,authors,year,journal,doi,labels,appears_in_multiple_labels,downloaded
Energy analysis of a hybrid solar dryer for drying coffee beans,"Suherman, S. and Widuri, H. and Patricia, S. and Susanto, E.E. and Sutrisna, R.J.",2020,International Journal of Renewable Energy Development,10.14710/ijred.9.1.131-139,energy_efficiency,True,no
Free electricity tandem-twin-hybrid solar-biomass dryer increased the performance of coffee cherry drying,"YUWANA, Y. and SYAFNIL, S.",2025,Research in Agricultural Engineering,10.17221/98/2024-RAE,energy_efficiency,True,no
Improving Mechanical Coffee Drying with Recycled Insulating Materials: A Thermal Efficiency and Economic Feasibility Analysis,"Cruz-Ospina, V. and Duque-Dussán, E. and Sanz-Uribe, J.R.",2026,Foods,10.3390/foods15020367,energy_efficiency,True,no
PHOTOVOLTAIC PLANT TO SUPPLY ENERGY FOR AN ELECTRIC COFFEE DRYER - ENERGY COSTS AND COMPENSATION,"Konopatzki, E.A. and de Oliveira, C.L. and Marangoni, F. and Edwiges, T. and Christ, D.",2023,Engenharia Agricola,10.1590/1809-4430-Eng.Agric.v43nepe20220150/2023,energy_efficiency,True,no
Economic analysis of low-temperature grain drying,"Santana, P.A. and de Carvalho Lopes, D. and Neto, A.J.S.",2019,Emirates Journal of Food and Agriculture,10.9755/ejfa.2019.v31.i12.2040,energy_efficiency,True,no
Modeling effectiveness analysis of momentum and heat transfer in a fixed bed silo-dryer through computational fluid-dynamics,"Mateus, F.L.B. and Júnior, I.P.",2021,Coffee Science,10.25186/.V16I.1902,energy_efficiency,True,no
Simulation of temperature and air flow distribution in coffee drying chamber using low enthalpy geothermal energy resource with thermosiphon technology,"Hakim, I.I. and Palupi, I.D. and Putra, N. and Ariyadi H.M. and Indarto null and Kamal S. and Saptoadi H. and Deendarlianto null",2024,AIP Conference Proceedings,10.1063/5.0188419,energy_efficiency,True,no
Thermal design of 5 kg capacity coffee bean dryer simulator using Geothermal energy,"Hendrarsakti, J. and Firmansyah, M.R.",2019,IOP Conference Series: Earth and Environmental Science,10.1088/1755-1315/254/1/012019,energy_efficiency,True,no
Modeling and simulation of heat and mass transfer during drying of coffee in a box dryer using C++ programming language,"Rabello, G.L. and Pimentel, U.F. and Aranda, D. and Poubel, W.",2021,Brazilian Journal of Food Technology,10.1590/1981-6723.27220,energy_efficiency,True,no
"Convective and microwave drying kinetics and modeling of tomato slices, energy consumption, and efficiency","Guemouni, S. and Mouhoubi, K. and Brahmi, F. and Dahmoune, F. and Belbahi, A. and Benyoub, C. and Adjeroud-Abdellatif, N. and Atmani, K. and Bakhouche, H. and Boulekbache-Makhlouf, L. and Madani, K.",2022,Journal of Food Process Engineering,10.1111/jfpe.14113,energy_efficiency,True,no
Scaling-up electrohydrodynamic drying for energy-efficient food drying via physics-based simulations,"Onwude, D.I. and Iranshahi, K. and Rubinetti, D. and Martynenko, A. and Defraeye, T.",2021,Journal of Cleaner Production,10.1016/j.jclepro.2021.129690,energy_efficiency,True,no
"Design and fabricate a smart, energy-efficient, and quality-centric drum drying system","Ibrahim, A. and Amer, A. and Aboelasaad, G. and Hassan, M.F. and Elsebaee, I. and Gamal, A. and ElKholy, M.",2025,Discover Food,10.1007/s44187-025-00617-x,energy_efficiency,True,no
A Review of Energy-Efficient Technologies and Decarbonating Solutions for Process Heat in the Food Industry,"Faraldo, F. and Byrne, P.",2024,Energies,10.3390/en17123051,energy_efficiency,True,no
"IMPACT OF DRYING TEMPERATURES ON DRYING BEHAVIOURS, ENERGY CONSUMPTION AND QUALITY OF PURPLE SWEET POTATO FLOUR","Thuy, N.M. and Hiep, L.H. and Tai, N.V. and Huong, H.T.T. and Minh, V.Q.",2022,"Acta Scientiarum Polonorum, Technologia Alimentaria",10.17306/J.AFS.2022.1061,energy_efficiency,True,no
Current Status of Grain Drying Technology and Equipment Development: A Review,"Yu, P. and Zhu, W. and Shen, C. and Qiao, Y. and Zhang, W. and Zhu, Y. and Gong, J. and Cai, J.",2025,Foods,10.3390/foods14142426,energy_efficiency,True,no
"Effect of pretreatments on convective and infrared drying kinetics, energy consumption and quality of terebinth","Abbaspour-Gilandeh, Y. and Kaveh, M. and Fatemi, H. and Khalife, E. and Witrowa-Rajchert, D. and Nowacka, M.",2021,Applied Sciences (Switzerland),10.3390/app11167672,energy_efficiency,True,no
"Application of experimental, numerical, and machine learning techniques to improve drying performance and decrease energy consumption infrared continuous dryer","El-Mesery, H.S. and Qenawy, M. and Elmesiry, A.H. and Ali, M. and Adelusi, O.A. and Hu, Z. and Salem, A.",2025,Case Studies in Thermal Engineering,10.1016/j.csite.2025.106025,energy_efficiency,True,no
"Effect of tray elevation and cassava load on solar drying performance, energy efficiency, and drying kinetics","Cansee, S. and Saenkham, S. and Hu, S. and Kanasri, T.",2026,Results in Engineering,10.1016/j.rineng.2026.109491,energy_efficiency,True,no
Comparative evaluation of greenhouse gas emissions and specific energy consumption of different drying techniques in pear slices,"Kaveh, M. and Çetin, N. and Gilandeh, Y.A. and Sharifian, F. and Szymanek, M.",2023,European Food Research and Technology,10.1007/s00217-023-04346-2,energy_efficiency,True,no
"Advances in Computational Fluid Dynamics of Mechanical Processes in Food Engineering: Mixing, Extrusion, Drying, and Process Optimization","Szpicer, A. and Bińkowska, W. and Stelmasiak, A. and Wojtasik-Kalinowska, I. and Czajkowska, A. and Mierzejewska, S. and Domiszewski, Z. and Rydzkowski, T. and Piepiórka-Stepuk, J. and Półtorak, A.",2025,Applied Sciences (Switzerland),10.3390/app15158752,energy_efficiency,True,no
Optimization of thermal efficiency and energy consumption in a hybrid infrared heating technique: Artificial intelligence and computational simulations,"Liu, F. and El-Mesery, H.S. and ElMesiry, A.H. and Husein, M. and Mahdi, A.A.",2025,Results in Engineering,10.1016/j.rineng.2025.106054,energy_efficiency,True,no
Energy-efficient technologies for thermal treatment and drying of food products,"Burdo, O. and Bezbah, I. and Bandura, V. and Bezbah, S. and Petrovskyi, V. and Osadchuk, P.",2025,Journal of Central European Agriculture,10.5513/JCEA01/26.2.4515,energy_efficiency,True,no
