title,authors,year,journal,doi,labels,appears_in_multiple_labels,downloaded
Activation Energy Analysis of Coffee Beans Drying Using Double Condenser Refrigeration System,"Dzaky, M.I. and Kosasih, E.A. and Fauzi, M.B. and Prabowo, A.T. and Zikri, A. and Wibowo F.C. and Taufik null and Samsudin A. and Budi E. and Indrasari W. and Nasbey H. and Prayitno T.B. and Bakri F. and Muliyati D. and Sanjaya L.A.",2022,Journal of Physics: Conference Series,10.1088/1742-6596/2377/1/012058,heat_pump_drying,True,no
Influence of drying condition on the drying constants and activation energy for robusta coffee using heat pump drying,"Fauzi, M.B. and Kosasih, E.A. and Dzaky, M.I. and Tong C.W. and Man T.V. and Huat B.S.L. and Hoe W.K.",2024,IOP Conference Series: Earth and Environmental Science,10.1088/1755-1315/1372/1/012105,heat_pump_drying,True,no
"Evaluation of the impact of different drying methods on the phenolic compounds, antioxidant activity, and in vitro digestion of green coffee beans","Cheng, K. and Dong, W. and Long, Y. and Zhao, J. and Hu, R. and Zhang, Y. and Zhu, K.",2019,Food Science and Nutrition,10.1002/fsn3.948,heat_pump_drying,True,no
A Technological Update on Heat Pumps for Industrial Applications,"Bobbo, S. and Lombardo, G. and Menegazzo, D. and Vallese, L. and Fedele, L.",2024,Energies,10.3390/en17194942,heat_pump_drying,True,no
Experimental assessment of the thermal performance of a heat pump dryer system based on the variations in compressor discharge pressure on oregano drying,"Salazar-Hincapié, A. and Delgado-Mejía, A. and Romero-Maya, A.F. and Duque-Grisales, E.",2020,Energies,10.3390/en13236333,heat_pump_drying,False,no
Development of hybrid solar-assisted heat pump dryer for drying paddy,"Yahya, M. and Fahmi, H. and Hasibuan, R. and Fudholi, A.",2023,Case Studies in Thermal Engineering,10.1016/j.csite.2023.102936,heat_pump_drying,True,no
Exergy Analysis of a Convective Heat Pump Dryer Integrated with a Membrane Energy Recovery Ventilator,"Balaraman, A. and Rahman, M.A. and Ziviani, D. and Warsinger, D.M.",2025,Entropy,10.3390/e27020197,heat_pump_drying,False,no
A novel absorption-based enclosed heat pump dryer with combining liquid desiccant dehumidification and mechanical vapor recompression: Case study and performance evaluation,"Su, W. and Ma, D. and Lu, Z. and Jiang, W. and Wang, F. and Xiaosong, Z.",2022,Case Studies in Thermal Engineering,10.1016/j.csite.2022.102091,heat_pump_drying,False,no
Performance enhancement of a sludge continuous feed heat pump drying system by air deflectors and auxiliary cooling subsystems,"Luo, W.-J. and Lin, C.-Y. and Wu, N.-F. and Xu, Z.-Q.",2020,Energies,10.3390/en13246651,heat_pump_drying,False,no
Study on drying characteristics of yam slices under heat pump-electrohydrodynamics combined drying,"Meng, Z. and Cui, X. and Zhang, H. and Liu, Y. and Wang, Z. and Zhang, F.",2023,Case Studies in Thermal Engineering,10.1016/j.csite.2022.102601,heat_pump_drying,True,no
Experimental Investigations of Thin-layer Drying of Leaves in a Heat-Pump Assisted Tray-type Batch Drying Chamber,"Babu, A.K. and Kumaresan, G. and Antony Aroul Raj, V. and Velraj, R.",2020,Strojniski Vestnik/Journal of Mechanical Engineering,10.5545/sv-jme.2019.6510,heat_pump_drying,False,no
Simulation Study on the Performance of an Enhanced Vapor-Injection Heat-Pump Drying System,"Dong, S. and Liu, Y. and Meng, Z. and Zhai, S. and Hu, K. and Zhang, F. and Zhou, D.",2022,Energies,10.3390/en15249542,heat_pump_drying,False,no
Viability of an Open-Loop Heat Pump Drying System in South African Climatic Conditions †,"Ngalonkulu, S.M. and Huan, Z.",2024,Energies,10.3390/en17102432,heat_pump_drying,False,no
A comprehensive review of heat pump wood drying technologies,"Gao, L. and Fix, A. and Seabourne, T. and Pei, Y. and Adegbaye, P. and Hwang, Y. and Yang, B. and Radermacher, R.",2024,Energy,10.1016/j.energy.2024.133241,heat_pump_drying,False,no
Recent Applications of Heat Pump Dryer for Drying of Fruit Crops: A Review,"Salehi, F.",2021,International Journal of Fruit Science,10.1080/15538362.2021.1911746,heat_pump_drying,False,no
