title,authors,year,journal,doi,labels,appears_in_multiple_labels,downloaded
Rice husk energy rotary dryer experiment for improved solar drying thermal performance on cherry coffee,"Bawa Susana, I.G. and Alit, I.B. and Okariawan, I.D.K.",2023,Case Studies in Thermal Engineering,10.1016/j.csite.2022.102616,mechanical_drying,True,no
Preliminary study of drying of natural coffee by cyclical pressure changes,"Parra-Coronado, A. and García-Navarrete, O.L. and Vanegas-Izquierdo, F.A. and Gamboa-Gamboa, J.A. and González-Mora, A.F. and Ramírez-González, D.A.",2020,DYNA (Colombia),10.15446/DYNA.V87N214.83414,mechanical_drying,True,no
Enhancing the performance of conventional coffee beans drying with low-temperature geothermal energy by applying HPHE: An experimental study,"Gunawan, Y. and Margono, K.T. and Rizky, R. and Putra, N. and Faqih, R.A. and Hakim, I.I. and Setiadanu, G.T. and Suntoro, D. and Kasbi, S. and Nafis, S.",2021,Open Agriculture,10.1515/opag-2021-0053,mechanical_drying,True,no
"Effectiveness of a coffee drying process using solar dryers with a continuous air flow system powered by photovoltaic energy, in the San Martín region, Peru","Prada, Á. and Vela, C.P. and Bardález, G. and Saavedra, J.",2019,Informacion Tecnologica,10.4067/S0718-07642019000600085,mechanical_drying,True,no
Performance Analysis and Kinetic Modeling of Coffee Beans in Microwave Convective Dryer Integrated Photovoltaic System,"Kusmiyati, K. and Fudholi, A.",2022,Mathematical Modelling of Engineering Problems,10.18280/mmep.090427,mechanical_drying,True,no
Influence of drying air temperature on coffee quality during storage,"Peñuela-Martínez, A.E. and Sanz-Uribe, J.R. and Medina-Rivera, R.D.",2023,Revista Facultad Nacional de Agronomia Medellin,10.15446/rfnam.v76n3.104115,mechanical_drying,True,no
Drying air temperature profile of independent hybrid solar dryer for agricultural products in respect to different energy supplies (a research note),"Yuwana, Y. and Silvia, E. and Sidebang, B. and Habazar T. and Yonariza null and Yulnafatmawita null and Mahdi null and Hayati D. and Arief I.",2020,IOP Conference Series: Earth and Environmental Science,10.1088/1755-1315/583/1/012033,mechanical_drying,True,no
Energy analysis of a hybrid solar dryer for drying coffee beans,"Suherman, S. and Widuri, H. and Patricia, S. and Susanto, E.E. and Sutrisna, R.J.",2020,International Journal of Renewable Energy Development,10.14710/ijred.9.1.131-139,mechanical_drying,True,no
Proposal for implantation of coffee drying greenhouse with parabolic cover and adapted modular structure,"Briceño-Martínez, B. and Castillo-Calderón, J. and Carrión-Jaura, R. and Díaz-Sinche, D.",2020,Ingenius,10.17163/ings.n24.2020.04,mechanical_drying,True,no
Analysis of temperature and velocity distributions in a solar drying box coffee beans,"Siagian, P. and Napitupulu, F.H. and Setyawan, E.Y. and Siagian, L. and Napitupulu, R.A.M. and Ambarita, H.",2018,IOP Conference Series: Materials Science and Engineering,10.1088/1757-899X/420/1/012035,mechanical_drying,True,no
Drying gayo coffee under natural processing by using modified Hohenheim solar tunnel dryer in Gayo highland,"Khathir, R. and Yunita, Y. and Agustina, R. and Jayanti, D.S. and Siagian, A.",2024,IOP Conference Series: Earth and Environmental Science,10.1088/1755-1315/1297/1/012018,mechanical_drying,True,no
Performance Investigation of an Inflatable Solar Dryer with Steel-Can Solar Air Heater for Drying Coffee and Corn,"Oria, C.L. and Palconit, E.V.",2022,"Engineering, Technology and Applied Science Research",10.48084/etasr.4966,mechanical_drying,True,no
The Effect of Varying the Air Flow in a Solar Collector on the Quality of Arabica Coffee Beans,"Siagian, P. and Napitupulu, F.H. and Ambarita, H. and Sihombing, H.V. and Sibagariang, Y.P. and Siagian, H.S.",2024,Fluids,10.3390/fluids9030075,mechanical_drying,True,no
Effect of altitude on coffee (Coffea arabica L.) quality: Comparison between mechanical and traditional drying,"Guevara-Sánchez, M. and Bernales del Águila, C.I. and Saavedra-Ramírez, J. and Owaki-López, J.J.",2019,Scientia Agropecuaria,10.17268/sci.agropecu.2019.04.07,mechanical_drying,True,no
Coffee Drying Using a Combination of Solar and Electric Heaters Utilizing PCM as a Thermal Energy Storage,"Fauzi, M.B. and Kosasih, E.A. and Putra, G.J.P.",2025,Journal of Physics: Conference Series,10.1088/1742-6596/3103/1/012002,mechanical_drying,True,no
Improving Mechanical Coffee Drying with Recycled Insulating Materials: A Thermal Efficiency and Economic Feasibility Analysis,"Cruz-Ospina, V. and Duque-Dussán, E. and Sanz-Uribe, J.R.",2026,Foods,10.3390/foods15020367,mechanical_drying,True,no
