title,authors,year,journal,doi,labels,appears_in_multiple_labels,downloaded
"Coffee Drying and Processing Method Influence Quality of Arabica Coffee Varieties (Coffea arabica L.) at Gomma i and Limmu Kossa, Southwest Ethiopia","Firdissa, E. and Mohammed, A. and Berecha, G. and Garedew, W.",2022,Journal of Food Quality,10.1155/2022/9184374,solar_drying,False,no
A field survey on coffee beans drying methods of Indonesian small holder farmers,"Siagian, P. and Setyawan, E.Y. and Gultom, T. and Napitupulu, F.H. and Ambarita, H.",2017,IOP Conference Series: Materials Science and Engineering,10.1088/1757-899X/237/1/012037,solar_drying,False,no
Thermo-economic comparative of open-greenhouse and sun-patio coffee drying in the Sierra Mariscal Chiapas-México,"Santizo-Díaz, D. and Flores-Prieto, J.J.",2025,Case Studies in Thermal Engineering,10.1016/j.csite.2025.106072,solar_drying,False,no
Changes in physico-chemical characteristics of robusta coffee (Coffea canephora) during natural process using simple solar dryer,"Harijono, M.F.W. and Wulan, S.N. and Ali, D.Y. and Riza D.F.A. and Izza N. and Gustinasari K. and Maharsih I.K. and Sunarharum W.B. and Nurcholis M. and Dewanti B.S.D. and Widayanti V.T. and Mufidah E. and Qisthiya I. and Karadag D. and Idrus S. and Umakoshi H. and Lee Y.C. and Fatchurrahman D. and Zhu M. and Omwange K.A. and Addini T.",2024,BIO Web of Conferences,10.1051/bioconf/20249001003,solar_drying,False,no
Rice husk energy rotary dryer experiment for improved solar drying thermal performance on cherry coffee,"Bawa Susana, I.G. and Alit, I.B. and Okariawan, I.D.K.",2023,Case Studies in Thermal Engineering,10.1016/j.csite.2022.102616,solar_drying,False,no
Preliminary study of drying of natural coffee by cyclical pressure changes,"Parra-Coronado, A. and García-Navarrete, O.L. and Vanegas-Izquierdo, F.A. and Gamboa-Gamboa, J.A. and González-Mora, A.F. and Ramírez-González, D.A.",2020,DYNA (Colombia),10.15446/DYNA.V87N214.83414,solar_drying,False,no
Effect of altitude on coffee (Coffea arabica L.) quality: Comparison between mechanical and traditional drying,"Guevara-Sánchez, M. and Bernales del Águila, C.I. and Saavedra-Ramírez, J. and Owaki-López, J.J.",2019,Scientia Agropecuaria,10.17268/sci.agropecu.2019.04.07,solar_drying,False,no
Investigating the Performance and Optimization of Solar Coffee Drying Technologies—A Systematic Review,"Meja, E.M. and Dubbe, S.K. and Bekele, A. and Wolde, K.F. and Adaramola, M.S.",2025,Journal of Food Processing and Preservation,10.1155/jfpp/7907660,solar_drying,False,no
Physical and sensory quality of coffee dried in three prototypes of greenhouse solar dryers,"de Jesús Huamán-Murillo, M. and Garcia, S.M.M. and Murillo-Baca, S.M. and Ponce-Rosas, F.C. and Fuentes-Meza, M.J.",2024,Revista de la Facultad de Agronomia,10.47280/RevFacAgron(LUZ).v41.n2.02,solar_drying,False,no
Performance evaluation of diminutive solar dryer for drying of green coffee beans: In Ethiopian highlands,"Kebede, A.Y. and Tigabu, M.T. and Admase, A.T. and Bezie, A.J.",2025,Case Studies in Thermal Engineering,10.1016/j.csite.2024.105653,solar_drying,False,no
Coffee Drying Using a Combination of Solar and Electric Heaters Utilizing PCM as a Thermal Energy Storage,"Fauzi, M.B. and Kosasih, E.A. and Putra, G.J.P.",2025,Journal of Physics: Conference Series,10.1088/1742-6596/3103/1/012002,solar_drying,False,no
Comparative study of mathematical and experimental models of coffee bean drying rate in a solar dryer simulator,"Sihombing, H.V. and Ambarita, H. and Silalahi, J.F. and Ambarita H. and Selvasembian R. and Fachrudin H.T. and Huda A.",2024,E3S Web of Conferences,10.1051/e3sconf/202451903035,solar_drying,False,no
"Influence of Drying Methods on the Post-Harvest Quality of Coffee: Effects on Physicochemical, Sensory, and Microbiological Composition","Abreu, D.J.M.D. and Lorenço, M.S. and Machado, G.G.L. and Silva, J.M. and Azevedo, E.C.D. and Carvalho, E.E.N.",2025,Foods,10.3390/foods14091463,solar_drying,False,no
Solar Dryers: Technical Insights and Bibliometric Trends in Energy Technologies,"Villagran, E. and Espitia, J.J. and Velázquez, F.A. and Rodriguez, J.",2024,AgriEngineering,10.3390/agriengineering6040228,solar_drying,False,no
Numerical investigation of phase change material assisted indirect solar dryer for food quality preservation,"Lad, P. and Kumar, R. and Saxena, R. and Patel, J.",2023,International Journal of Thermofluids,10.1016/j.ijft.2023.100305,solar_drying,False,no
