title,year,journal,authors,doi
Bioclimatic performance of wet coffee processing facilities: Conditions for workers and coffee,2022,Revista Facultad Nacional de Agronomia Medellin,"Guerra García, L.M. and Osorio Hernández, R. and Saráz, J.A.O. and Carlo, J.C. and Damasceno, F.A.",10.15446/RFNAM.V75N1.96247
Exploring the impacts of postharvest processing on the microbiota and metabolite profiles during green coffee bean production,2017,Applied and Environmental Microbiology,"De Bruyn, F. and Zhang, S.J. and Pothakos, V. and Torres, J. and Lambot, C. and Moroni, A.V. and Callanan, M. and Sybesma, W. and Weckx, S. and De Vuyst, L.",10.1128/AEM.02398-16
Protein profiles and physiological performance of coffee seeds subjected to different processing and drying methods,2012,Pesquisa Agropecuaria Brasileira,"Taveira, J.H.S. and da Rosa, S.D.V.F. and Borém, F.M. and Giomo, G.S. and Saath, R.",10.1590/S0100-204X2012001000014
Simulation of a thermal environment in two buildings for the wet processing of coffee,2015,DYNA (Colombia),"Osorio-Hernandez, R. and Guerra-Garcia, L.M. and Ferreira-Tinôco, I.D.F. and Osorio-Saraz, J.A. and Aristizábal-Torres, I.D.",10.15446/dyna.v82n194.49526
Effect of the postharvest processing method on the biochemical composition and sensory analysis of arabica coffee,2020,Engenharia Agricola,"Rodriguez, Y.F.B. and Guzman, N.G. and Hernandez, J.G.",10.1590/1809-4430-ENG.AGRIC.V40N2P177-183/2020
"Comparative Life Cycle Assessment (LCA) in the Agri-Food Industry, Focusing on Organic and Conventional Coffee",2024,Sustainability (Switzerland),"Hasan, Y. and Roy, P. and Abbassi, B.",10.3390/su162410819
The influence of natrural fermentation on coffee drink quality,2020,Coffee Science,"Pereira, L.F.B. and Franco Junior, K.S. and Barbosa, C.K.R.",10.25186/.v15i.1673
Physical and sensorial quality of arabica coffee cultivars submitted to two types of post-harvesting processing,2023,Coffee Science,"Alixandre, R.D. and Alixandre, F.T. and de Lima, P.A.M. and Fornazier, M.J. and Krohling, C.A. and Do Amaral, J.F.T. and Guarçoni, R.C. and da Silva Dias, R. and Venturini, C.F. and Macette, H.A. and Zandonadi, C.U. and Viçosi, D.B.",10.25186/.v18i.2081
Endo-β-mannanase enzyme activity in the structures of coffea arabica l. Seeds under different types of processing and drying,2018,Ciencia Rural,"Ferreira, V.F. and Ricaldoni, M.A. and da Rosa, S.D.V.F. and de Figueiredo, M.A. and Coelho, S.V.B. and Fantazzini, T.B.",10.1590/0103-8478cr20170839
Impact of immature coffee fruits and water addition during spontaneous fermentation process: Chemical composition and sensory profile,2024,Electronic Journal of Biotechnology,"Ferreira, L.J.C. and Casé, I.N. and Bertarini, P.L.L. and Oliveira, L.M.D. and Santos, L.D.",10.1016/j.ejbt.2024.04.001
Sensory and physiological quality of arabic coffee under different fermentation times,2020,Bioscience Journal,"Do Carmo, K.B. and Do Carmo, J.C.B. and Krause, M.R. and Peterle, G.",10.14393/BJ-v36n2a2020-43255
Bioclimatic analysis of three buildings for wet processing of coffee in Colombia,2018,Revista Facultad Nacional de Agronomia Medellin,"Hernández, R.O. and Tinôco, I.F.F. and Carlo, J.C. and Saraz, J.A.O. and Torres, I.D.A.",10.15446/rfnam.v71n3.64566
Computational fluid dynamics assessment of effect of different openings configurations on the thermal environment of a facility for coffee wet processing,2020,Journal of Agricultural Engineering,"Hernandez, R.O. and Saraz, J.A.O. and Oliveira, K.S. and Aristizaba, I.D. and Arango, J.C.",10.4081/jae.2020.892
"The role of wet fermentation in enhancing coffee flavor, aroma and sensory quality",2021,European Food Research and Technology,"Elhalis, H. and Cox, J. and Frank, D. and Zhao, J.",10.1007/s00217-020-03641-6
