title,year,journal,authors,doi
Influence of drying air temperature on coffee quality during storage,2023,Revista Facultad Nacional de Agronomia Medellin,"Peñuela-Martínez, A.E. and Sanz-Uribe, J.R. and Medina-Rivera, R.D.",10.15446/rfnam.v76n3.104115
"Effect of processing and drying methods on biochemical composition of coffee (Coffea arabica L.) varieties in Jimma Zone, Southwestern Ethiopia",2022,Cogent Food and Agriculture,"Eshetu, E.F. and Tolassa, K. and Mohammed, A. and Berecha, G. and Garedew, W.",10.1080/23311932.2022.2121203
Comparative analysis of coffee drying on quality with variations in dryers made solar collectors,2024,AIP Conference Proceedings,"Siagian, P. and Napitupulu, F.H. and Ambarita, H. and Sihombing, H.V. and Siagian, H. and Rahim R. and Kurniawati H. and Radiansyah I.R.",10.1063/5.0202116
"Physical, Sensorial, and Physicochemical Characteristics of Arabica Coffee Dried under Two Solar Brightness Conditions",2023,Processes,"Peñuela-Martínez, A.E. and Hower-García, I.P. and Guerrero, A. and Agudelo-Laverde, L.M. and Betancourt-Rodríguez, H. and Martínez-Giraldo, J.",10.3390/pr11103016
Performance Evaluation of an Inflated Solar Dryer Integrated with Phase Change Materials for Enhanced Drying of Cherry Coffee,2025,International Journal of Design and Nature and Ecodynamics,"Maryana, Y.E. and Saputra, D. and Priyanto, G. and Yuliati, K.",10.18280/ijdne.200119
A data-driven approach to improve coffee drying: Combining environmental sensors and chemical analysis,2024,PLoS ONE,"Jakkaew, P. and Yingchutrakul, Y. and Aunsri, N.",10.1371/journal.pone.0296526
The Effect of Varying the Air Flow in a Solar Collector on the Quality of Arabica Coffee Beans,2024,Fluids,"Siagian, P. and Napitupulu, F.H. and Ambarita, H. and Sihombing, H.V. and Sibagariang, Y.P. and Siagian, H.S.",10.3390/fluids9030075
Changes in fatty acids profile and sucrose concentration of coffee beans during drying process,2023,Journal of Food Process Engineering,"Largo-Avila, E. and Suárez-Rodríguez, C.H. and Maya, J.C. and Ciro-Velásquez, H.J. and Chejne, F.",10.1111/jfpe.14385
"Harmonizing Drying Time, Layer Thickness, and Drier Zones for Drying Kinetics: Quality and Safety of Solar Tunnel-Dried Wet-Processed Parchment Coffee (Coffea arabica L.)",2023,International Journal of Food Science,"Abdissa, Z.K. and Tola, Y.B. and Taye, A.H. and Mohammed, H.H.",10.1155/2023/6677592
POSTHARVEST EFFECTS ON THE PHYSICAL QUALITY AND SENSORY CHARACTERISTICS OF COFFEA CANEPHORA,2023,"Acta Scientiarum Polonorum, Technologia Alimentaria","Velásquez, S. and Banchón, C. and Farfán, D. and Guerrero-Casado, J.",10.17306/J.AFS.2023.1181
CHANGES IN TEXTURAL PROPERTIES AND COLOR DUE TO THE PROCESSING METHOD OF GREEN COFFEA ARABICA,2022,"Journal of Microbiology, Biotechnology and Food Sciences","Poláková, K. and Bobková, A. and Demianová, A. and Belej, Ľ. and Jurčaga, L. and Bobko, M. and Mesárošová, A. and Žiak, M.",10.55251/jmbfs.9458
"Investigation of Thin-Layer Drying of Coffee Beans Using a Double-Condenser Compression Refrigeration System: Effects of Air Mass Flux, Specific Humidity and Drying Temperature",2023,Journal of Advanced Research in Fluid Mechanics and Thermal Sciences,"Dzaky, M.I. and Kosasih, E.A. and Hakim, I.I. and Zikri, A.",10.37934/arfmts.106.1.90103
Development and validation of a heated drying air diffusion system to optimize rotary dryers and final coffee quality,2021,PLoS ONE,"Coradi, P.C. and Martens, S. and Rodrigues, H.E. and Leal, A.F. and Da Costa, D.R. and Saath, R. and Borém, F.M.",10.1371/journal.pone.0251312
Effect of temperature on drying kinetics and quality attributes of coffee beans during hot air drying,2025,Journal of the National Science Foundation of Sri Lanka,"Fernando, A.J. and Amaratunga, K.S.P. and Dan, D. and THKR De, S.",10.4038/jnsfsr.v53i3.12590
Price and quality of coffee (Coffea arabica L.) dried using air dehumidified by convection,2019,Engenharia Agricola,"Konopatzki, E.A. and Christ, D. and Coelho, S.R.M. and Demito, A. and Werncke, I. and Camicia, R.G.M.",10.1590/1809-4430-Eng.Agric.v39n5p649-658/2019
"Quality of arabic coffee under different processing systems, drying methods and altitudes",2020,Bioscience Journal,"Do Carmo, K.B. and Do Carmo, J.C.B. and Krause, M.R. and Moreli, A.P. and Lo Monaco, P.A.V.",10.14393/BJ-v36n4a2020-47890
Activation Energy Analysis of Coffee Beans Drying Using Double Condenser Refrigeration System,2022,Journal of Physics: Conference Series,"Dzaky, M.I. and Kosasih, E.A. and Fauzi, M.B. and Prabowo, A.T. and Zikri, A. and Wibowo F.C. and Taufik null and Samsudin A. and Budi E. and Indrasari W. and Nasbey H. and Prayitno T.B. and Bakri F. and Muliyati D. and Sanjaya L.A.",10.1088/1742-6596/2377/1/012058
