title,year,journal,authors,doi
Proposal for implantation of coffee drying greenhouse with parabolic cover and adapted modular structure,2020,Ingenius,"Briceño-Martínez, B. and Castillo-Calderón, J. and Carrión-Jaura, R. and Díaz-Sinche, D.",10.17163/ings.n24.2020.04
Design of a Continuous Coffee Bean Solar Dryer,2020,Journal of Physics: Conference Series,"Ambarita, H. and Munthe, H.K.J. and Hutagalung, T.",10.1088/1742-6596/1542/1/012025
LOW COST TELEMONITORING TECHNOLOGY OF SEMISPHERICAL SOLAR DRYER FOR DRYING ARABICA COFFEE BEANS,2022,INMATEH - Agricultural Engineering,"Pramono, E.K. and Karim, M.A. and Fudholi, A. and Bulan, R. and Lapcharoensuk, R. and Sitorus, A.",10.35633/inmateh-66-34
Controlling temperature using proportional integral and derivative control algorithm for hybrid forced convection solar dryer,2024,International Journal of Electrical and Computer Engineering,"Arifin, M.A. and Pangaribuan, P. and Pramudita, B.A. and Megantoro, P.",10.11591/ijece.v14i1.pp239-247
Scaling-up electrohydrodynamic drying for energy-efficient food drying via physics-based simulations,2021,Journal of Cleaner Production,"Onwude, D.I. and Iranshahi, K. and Rubinetti, D. and Martynenko, A. and Defraeye, T.",10.1016/j.jclepro.2021.129690
A Technological Update on Heat Pumps for Industrial Applications,2024,Energies,"Bobbo, S. and Lombardo, G. and Menegazzo, D. and Vallese, L. and Fedele, L.",10.3390/en17194942
"Design and fabricate a smart, energy-efficient, and quality-centric drum drying system",2025,Discover Food,"Ibrahim, A. and Amer, A. and Aboelasaad, G. and Hassan, M.F. and Elsebaee, I. and Gamal, A. and ElKholy, M.",10.1007/s44187-025-00617-x
Design and Experiment of Drying Equipment for Alfalfa Bales,2025,Agriculture (Switzerland),"Du, J. and Sun, Z. and Chen, Z.",10.3390/agriculture15192000
Improvements in drying technologies - Efficient solutions for cleaner production with higher energy efficiency and reduced emission,2021,Journal of Cleaner Production,"Chojnacka, K. and Mikula, K. and Izydorczyk, G. and Skrzypczak, D. and Witek-Krowiak, A. and Moustakas, K. and Ludwig, W. and Kułażyński, M.",10.1016/j.jclepro.2021.128706
Modelling of a continuous veneer drying unit of industrial scale and model-based ANOVA of the energy efficiency,2022,Energy,"Gradov, D.V. and Yusuf, Y.O. and Ohjainen, J. and Suuronen, J. and Eskola, R. and Roininen, L. and Koiranen, T.",10.1016/j.energy.2021.122673
Study on the variable-temperature drying process of corn drying in an industrial corn-drying system equipped with a self-adaptive control heat exchanger,2021,Applied Sciences (Switzerland),"Li, B. and Zeng, Z. and Zhang, X. and Zhang, Y.",10.3390/app11062772
Design and Development of Equipment forAgricultural Grains and Coffee Cherry,2024,AIP Conference Proceedings,"Stanley, G. and Thufail, M. and Gopala, M. and Ali, S.M. and Tanappagol, P. and Anthony, J. and Hegde R. and Kodi S.K.S. and Rao G.",10.1063/5.0195881
